"","sample","intercept","coefYear","df.residual","adj.r.square","df","fstat","pvalue"
"1","ANWC100","19.909424732","-0.0446950108421053","18","0.132794896005801","18","3.90946514554542","0.0635364287818556"
"2","ANWC101","19.2199817185","-0.0425268795864659","18","0.0946849369714861","18","2.98716875033545","0.101042206399993"
"3","ANWC102","19.024085774","-0.0442357158195492","18","0.11191727273163","18","3.39440326515706","0.0819534065778391"
"4","ANWC103","17.6242246045","-0.0568498643383461","18","0.122985832150459","18","3.66441626204104","0.0716203952648671"
"5","ANWC104","17.390590381","-0.0375132739849625","18","0.0923493576657332","18","2.93316427467777","0.103949684360848"
"6","ANWC105","20.7496431865","-0.118261649315789","18","0.130721198444324","18","3.85719928519742","0.0651677008186732"
"7","ANWC106","20.9121381115","-0.109426394609023","18","0.114548670909765","18","3.4579834890775","0.0793715117480789"
"8","ANWC107","20.9121381115","-0.109426394609023","18","0.114548670909765","18","3.4579834890775","0.0793715117480789"
"9","ANWC108","19.7393896785","-0.10281113450376","18","0.125936923629145","18","3.73756164016077","0.0690883011276666"
"10","ANWC109","19.044333974","-0.107284846842105","18","0.13719647185217","18","4.02123586674137","0.0602042582505116"
"11","ANWC110","16.804234152","-0.121746443714286","18","0.120363465994633","18","3.59983045893369","0.073946420552146"
"12","ANWC112","28.271505332","-0.0338021636240598","18","0.0249746189795307","18","1.48667221371658","0.23847093294197"
"13","ANWC113","27.8162874465","-0.0184861777518796","18","-0.0132073177556244","18","0.752331992713274","0.397155084404834"
"14","ANWC115","24.216258669","-0.0266732522857145","18","-0.0381330922444221","18","0.302084907940271","0.5893333170159"
"15","ANWC116","24.2233083245","-0.048060265917293","18","-0.00635539767804305","18","0.880010028105945","0.360616848754588"
"16","ANWC117","20.1041784245","-0.0888667609548868","18","0.11585134606074","18","3.48959896658427","0.0781231443595206"
"17","ANWC118","20.116449956","-0.072477009593985","18","0.0123002688610646","18","1.23661554315777","0.280756717574471"
"18","ANWC119","27.950055488","-0.0148851199097746","18","-0.0350808152922222","18","0.356054637758844","0.558136729390049"
"19","ANWC126","19.8175811735","0.0214191116165417","18","-0.014210273208753","18","0.733787757727894","0.402918724987207"
"20","ANWC128","20.569527433","0.0153758609323304","18","-0.0409437765160039","18","0.252666886190742","0.621297810073839"
"21","ANWC129","20.679039934","0.014081869593985","18","-0.0434654115982926","18","0.208557551416484","0.65336316596868"
"22","ANWC130","20.5372179425","0.0143551623233083","18","-0.0412378789326739","18","0.247511336675577","0.624855656291682"
"23","ANWC131","20.488195391","0.0125298006466166","18","-0.0451768967945938","18","0.178740898569658","0.677465194296576"
"24","ANWC132","20.942901521","0.0117075330827066","18","-0.0490017528747708","18","0.112457818045428","0.74123987149784"
"25","ANWC133","20.942901521","0.0117075330827066","18","-0.0490017528747708","18","0.112457818045428","0.74123987149784"
