"","sample","intercept","coefYear","df.residual","adj.r.square","df","fstat","pvalue"
"1","ANWC100","60.45","-0.325563909774437","18","-0.0249248728221123","18","0.537944100901599","0.47273135603721"
"2","ANWC101","55.45","-0.423308270676691","18","-0.0137809165856793","18","0.741721893908056","0.400437308635489"
"3","ANWC102","53.25","-0.518045112781955","18","0.00728535819854303","18","1.13943765906497","0.299879227168189"
"4","ANWC103","40","-0.378947368421052","18","-0.0161189358372458","18","0.698598490682273","0.414212882777894"
"5","ANWC104","28.35","-0.0984962406015041","18","-0.0434929913275499","18","0.208076295584766","0.653735061332292"
"6","ANWC105","65.1","-1.49022556390978","18","0.237804888977308","18","6.92800035742336","0.0169159489913467"
"7","ANWC106","70.65","-1.15413533834587","18","0.171138246346451","18","4.92300243828321","0.0395960029534741"
"8","ANWC107","70.65","-1.15413533834587","18","0.171138246346451","18","4.92300243828321","0.0395960029534741"
"9","ANWC108","50.95","-0.578195488721804","18","0.0205621445343139","18","1.39888262840955","0.252298438202149"
"10","ANWC109","49.6","-0.618045112781955","18","0.0390958746296222","18","1.77304446754925","0.199623812662991"
"11","ANWC110","26.35","-0.412781954887218","18","-0.0168056336594025","18","0.685970426442775","0.418385220109255"
"12","ANWC112","184.25","1.23684210526316","18","0.012228587259755","18","1.23521956086053","0.281019612784757"
"13","ANWC113","177.6","-1.16390977443609","18","0.031741951578908","18","1.62286813002247","0.218896148840921"
"14","ANWC115","124.45","-0.224812030075186","18","-0.055419328747198","18","0.00232332541545227","0.962086940531088"
"15","ANWC116","124.75","-0.278947368421052","18","-0.0553036623855205","18","0.0042964667159242","0.948460658204552"
"16","ANWC117","40.8","-0.336842105263159","18","-0.0531376327024067","18","0.0413266129755521","0.841189208051411"
"17","ANWC118","40.7","-0.371428571428572","18","-0.0528526655823032","18","0.0462097130101632","0.832211773659327"
"18","ANWC119","139.4","2.90977443609022","18","0.208624873915048","18","6.00884153889923","0.0246774086501266"
"19","ANWC126","58","0.578947368421052","18","0.0353554868624421","18","1.69637492489485","0.209181895452606"
"20","ANWC128","71.05","1.1015037593985","18","0.154893446112759","18","4.48237208977449","0.0484318713807139"
"21","ANWC129","72.65","1.18270676691729","18","0.174685990985483","18","5.02154064086146","0.0378823888839851"
"22","ANWC130","70.8","0.870676691729323","18","0.0743840252777546","18","2.52687131474955","0.129331708487162"
"23","ANWC131","69.8","0.903759398496241","18","0.0717051477728029","18","2.46763477618619","0.133624642246409"
"24","ANWC132","78.35","1.11353383458647","18","0.107664920428045","18","3.29244992712169","0.0863019630519022"
"25","ANWC133","78.35","1.11353383458647","18","0.107664920428045","18","3.29244992712169","0.0863019630519022"
"26","ANWC134","72.95","1.18571428571428","18","0.126896969851702","18","3.76146381804771","0.0682835649387343"
"27","ANWC135","77","1.33684210526316","18","0.148557327258922","18","4.31506666072145","0.0523661569907002"
"28","ANWC136","77","1.33684210526316","18","0.148557327258922","18","4.31506666072145","0.0523661569907002"
"29","ANWC137","99.5","-1.0812030075188","18","0.0272052125607345","18","1.53135465498804","0.231809647682376"
"30","ANWC138","99.5","-1.0812030075188","18","0.0272052125607345","18","1.53135465498804","0.231809647682376"
"31","ANWC139","105.9","-1.19248120300752","18","0.0297161060030748","18","1.58189774925833","0.224560479806211"
"32","ANWC140","177.6","-1.16390977443609","18","0.031741951578908","18","1.62286813002247","0.218896148840921"
"33","ANWC141","142.6","-0.166917293233085","18","-0.053677372659779","18","0.0320850508905208","0.859841943620561"
"34","ANWC142","142.6","-0.166917293233085","18","-0.053677372659779","18","0.0320850508905208","0.859841943620561"
"35","ANWC143","142.6","-0.166917293233085","18","-0.053677372659779","18","0.0320850508905208","0.859841943620561"
"36","ANWC144","160.25","-0.927067669172932","18","-0.018069619355833","18","0.662770834888425","0.426222954589879"
"37","ANWC145","141.95","0.00375939849623877","18","-0.0555550213537555","18","9.10955109711141e-06","0.997625024809698"
"38","ANWC146","141.95","0.00375939849623877","18","-0.0555550213537555","18","9.10955109711141e-06","0.997625024809698"
"39","ANWC147","201.7","1.37744360902256","18","0.0425018225300947","18","1.84337980695236","0.191333786874987"
"40","ANWC148","201.7","1.37744360902256","18","0.0425018225300947","18","1.84337980695236","0.191333786874987"
"41","ANWC150","191.2","1.32932330827067","18","0.0210638171871588","18","1.40882391884429","0.250681036336295"
"42","ANWC151","201.7","1.37744360902256","18","0.0425018225300947","18","1.84337980695236","0.191333786874987"
"43","ANWC152","198.15","1.40827067669173","18","0.0490160466198115","18","1.97930662496058","0.176495394025613"
"44","ANWC153","198.15","1.40827067669173","18","0.0490160466198115","18","1.97930662496058","0.176495394025613"
"45","ANWC154","198.15","1.40827067669173","18","0.0490160466198115","18","1.97930662496058","0.176495394025613"
"46","ANWC155","203.65","1.45338345864661","18","0.0595407359518504","18","2.20289525164084","0.155052649387844"
"47","ANWC156","203.65","1.45338345864661","18","0.0595407359518504","18","2.20289525164084","0.155052649387844"
"48","ANWC157","204.95","1.49398496240601","18","0.0666264485978357","18","2.35626568961288","0.142170857054025"
"49","ANWC158","160.55","0.719548872180451","18","-0.0356228434679811","18","0.346447376899171","0.563444963575326"
"50","ANWC159","160.55","0.719548872180451","18","-0.0356228434679811","18","0.346447376899171","0.563444963575326"
"51","ANWC160","169.05","0.811278195488723","18","-0.0278592674649254","18","0.485020859772862","0.495052724889861"
"52","ANWC161","169.05","0.811278195488723","18","-0.0278592674649254","18","0.485020859772862","0.495052724889861"
"53","ANWC162","161.8","0.120300751879701","18","-0.0549837867817065","18","0.009755446536935","0.922412788713522"
"54","ANWC163","159.15","0.161654135338346","18","-0.0545520156703758","18","0.0171292811210968","0.897322789203661"
"55","ANWC168","60.2","-0.366917293233082","18","-0.0460894938417176","18","0.162881963591219","0.691271007211518"
"56","ANWC170","52.65","-0.349624060150375","18","-0.0464667237154008","18","0.156334615726659","0.697200559118435"
"57","ANWC66","103.55","-2.54511278195489","18","0.267265234190924","18","7.93025592148676","0.011435770302958"
"58","ANWC67","103.55","-2.54511278195489","18","0.267265234190924","18","7.93025592148676","0.011435770302958"
"59","ANWC68","96.25","-2.83984962406015","18","0.366285653962399","18","11.9819628809108","0.00278481277356757"
"60","ANWC69","96.25","-2.83984962406015","18","0.366285653962399","18","11.9819628809108","0.00278481277356757"
"61","ANWC71","74.1","-0.15187969924812","18","-0.0522223463884297","18","0.0570200444936335","0.81396697199865"
"62","ANWC72","76.7","0.724812030075189","18","-0.00922904944160696","18","0.826251593245803","0.375369337876585"
"63","ANWC73","76.7","0.724812030075189","18","-0.00922904944160696","18","0.826251593245803","0.375369337876585"
"64","ANWC75","94.35","1.24887218045113","18","0.0304701089517083","18","1.59712658209691","0.222433398958165"
"65","ANWC77","88.65","0.9","18","-0.00998406343633995","18","0.81217802126002","0.379377714391957"
"66","ANWC78","110.25","-0.0458646616541346","18","-0.0554784964507458","18","0.00131415646196386","0.971480991168677"
