"","sample","intercept","coefYear","df.residual","adj.r.square","df","fstat","pvalue"
"1","ANWC100","0.00489154368421053","8.15400451349141e-05","17","-0.0197422333238186","17","0.651519581894289","0.430719005337634"
"2","ANWC101","0.00701138657894737","0.000161536010057236","17","0.0117417897068095","17","1.21386335324234","0.285923167520289"
"3","ANWC102","0.00749220884210527","0.000211287021749796","17","0.0280187989653518","17","1.51887668284065","0.234563019245578"
"4","ANWC103","0.0103061432631579","0.000172625061896975","17","-0.000730104201733139","17","0.986867712307228","0.334439585652329"
"5","ANWC104","0.00851694621052631","4.06449459525754e-05","17","-0.0508143396819825","17","0.129572104476139","0.723309124111396"
"6","ANWC105","0.0127309936315789","0.000192301015334947","17","0.0118498873848357","17","1.21585584032627","0.285541339806953"
"7","ANWC106","0.0108812972105263","0.000237329266424536","17","0.0476799776900023","17","1.90120923462078","0.185816906523702"
"8","ANWC107","0.0108812972105263","0.000237329266424536","17","0.0476799776900023","17","1.90120923462078","0.185816906523702"
"9","ANWC108","0.00620831821052631","9.71929569007264e-05","17","-0.0184851806201523","17","0.673305751036908","0.423258685965929"
"10","ANWC109","0.00784907963157894","0.000204218373527038","17","0.0300619578368436","17","1.55788639845117","0.228892975881457"
"11","ANWC110","0.0144777207894737","0.000283027205355715","17","0.0576981488242441","17","2.10215922587918","0.165290131168483"
"12","ANWC112","0.020837319","0.000814776650363197","17","0.265838898271595","17","7.51777948685016","0.0139032316985871"
"13","ANWC113","0.0277562680526317","0.000972281984361036","17","0.410457720643128","17","13.5321613568345","0.00186235797396612"
"14","ANWC115","0.0102282394210526","0.000265723762109026","17","0.0332108086497021","17","1.61832978796516","0.220451537398969"
"15","ANWC116","0.0100109219473684","0.000296865297855228","17","0.0751993742495902","17","2.46365465031372","0.134932277484025"
"16","ANWC117","0.0181547732105263","0.000493686389991063","17","0.21961350129093","17","6.06549386717471","0.024758125293818"
"17","ANWC118","0.018126759631579","0.000460956214745308","17","0.200179958489549","17","5.50506247131193","0.0313428763083437"
"18","ANWC119","0.04806948885","0.000408543896992481","18","0.0184275333056585","18","1.35669616323554","0.259316130893866"
"19","ANWC126","0.00509169947368421","6.9349925629887e-05","17","0.0204252003378594","17","1.37531958377071","0.257071626499026"
"20","ANWC128","0.0065651717368421","0.000121925293657689","17","0.0728792056958151","17","2.41494583077409","0.138600371480235"
"21","ANWC129","0.0066568177368421","0.00012960665360556","17","0.0855757083255425","17","2.68451643715535","0.119701988113053"
"22","ANWC130","0.00635043452631578","0.000115207105907906","17","0.0777896972625215","17","2.51832455847544","0.130954375326091"
"23","ANWC131","0.00664367678947367","0.000126043498436142","17","0.0857055367337216","17","2.68731160822714","0.119522915365179"
"24","ANWC132","0.00728930052631578","0.000136786903127715","17","0.0786408126311703","17","2.53635481880142","0.12967365897813"
"25","ANWC133","0.00728930052631578","0.000136786903127715","17","0.0786408126311703","17","2.53635481880142","0.12967365897813"
"26","ANWC134","0.0074824694736842","0.000150344607993049","17","0.0996698759435561","17","2.99266659978106","0.101754297051148"
"27","ANWC135","0.00782977357894736","0.000180202249956559","17","0.139998451516762","17","3.930194872028","0.0638273619027308"
"28","ANWC136","0.00782977357894736","0.000180202249956559","17","0.139998451516762","17","3.930194872028","0.0638273619027308"
"29","ANWC137","0.0318712298947369","0.000913265934673816","17","0.147742835133681","17","4.12038565592276","0.0583203833235299"
"30","ANWC138","0.0318712298947369","0.000913265934673816","17","0.147742835133681","17","4.12038565592276","0.0583203833235299"
"31","ANWC139","0.0308225827368422","0.000918972960500447","17","0.166339579420961","17","4.5915252249803","0.046895693578117"
"32","ANWC140","0.0277562680526317","0.000972281984361036","17","0.410457720643128","17","13.5321613568345","0.00186235797396612"
"33","ANWC141","0.031589296631579","0.00108382746550492","17","0.494397980028662","17","18.6011235893013","0.000471695542425283"
"34","ANWC142","0.031589296631579","0.00108382746550492","17","0.494397980028662","17","18.6011235893013","0.000471695542425283"
"35","ANWC143","0.031589296631579","0.00108382746550492","17","0.494397980028662","17","18.6011235893013","0.000471695542425283"
"36","ANWC144","0.0267035045789474","0.000825270660232349","17","0.244431442912285","17","6.82311946566401","0.0182177248967964"
