,MeanTempRate,Ndays35Rate,Ndays5Rate,RainRate,NDays35.5YrMean,NDays35.10YrMean,Ndays5.5YrMean,Ndays5.10YrMean,Tmean.5YrMean,Tmean.10YrMean,TotalRain.5YrSum,TotalRain.10YrSum
ANWC100,-0.044695011,-0.32556391,0.807518797,8.15E-05,53.6,58.4,45.4,44,19.7080121,19.76493615,0.025529847,0.060552539
ANWC101,-0.04252688,-0.423308271,1.246616541,0.000161536,48.4,53.2,71.2,67.7,19.08388801,19.08387274,0.035496652,0.08610824
ANWC102,-0.044235716,-0.518045113,1.259398496,0.000211287,45.6,50.2,72.2,68.7,18.8675159,18.8748178,0.036987229,0.0964597
ANWC103,-0.056849864,-0.378947368,1.27443609,0.000172625,33.4,38,74.4,73.3,17.38003143,17.43887096,0.056334022,0.124940066
ANWC104,-0.037513274,-0.098496241,0.636842105,4.06E-05,26.2,27.6,48.2,45.5,17.24707656,17.24624442,0.045194242,0.098205005
ANWC105,-0.118261649,-1.490225564,0.839849624,0.000192301,49,58.7,55.4,52.3,20.11318781,20.39053322,0.065956774,0.163078218
ANWC106,-0.109426395,-1.154135338,0.536090226,0.000237329,60.8,65.1,46.6,42.8,20.38501906,20.5927034,0.060458845,0.13965864
ANWC107,-0.109426395,-1.154135338,0.536090226,0.000237329,60.8,65.1,46.6,42.8,20.38501906,20.5927034,0.060458845,0.13965864
ANWC108,-0.102811135,-0.578195489,0.097744361,9.72E-05,42.6,49.7,31,28.7,19.23104041,19.4350451,0.036535789,0.07694762
ANWC109,-0.107284847,-0.618045113,0.733082707,0.000204218,41.4,48.1,52.8,45.9,18.50781871,18.73232367,0.0502511,0.097742941
ANWC110,-0.121746444,-0.412781955,0.90075188,0.000283027,25.6,24.3,90.6,86.5,16.3688859,16.42553275,0.076946572,0.179636402
ANWC112,-0.033802164,1.236842105,0,0.000814777,183.8,184.6,0,0,27.86279564,28.03468065,0.130849964,0.257626741
ANWC113,-0.018486178,-1.163909774,-0.004511278,0.000972282,170.8,171.8,0,0.3,27.82864841,27.65944881,0.158129508,0.328519112
