X,RecordID_ALA,COLLECTION.ID,CatalogNumber,Collection,SpeciesName,MonthCapture,YearCapture,LongitudeClim,LatitudeClim,Longitude,Latitude,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7
1145,0054f8fe-c3cd-405f-b1ab-196e6b8b958e,A20174,A20174,WAM,Malurus lamberti,3,1986,126.566667,-18.133333,126.566667,-18.133333,273493.7531,358.8266907,CEK,Central Kimberley
7197,00a2d242-0745-47dc-9739-1ce19efc9b3c,B52193,B52193,ANWC,Malurus lamberti,8,2007,131.5667,-30.1544,131.5667,-30.1544,149854.718,287.884613,GVD,Great Victoria Desert
5716,00adaf10-151a-43ae-a812-b458666acf8b,A13865,A13865,WAM,Malurus lamberti,7,1975,128.083333,-19.233333,128.083333,-19.233333,415401.2428,315.7370911,TAN,Tanami
7156,00b306cd-cd03-433f-8423-f37c75ae4e66,G31474,G31474,ANWC,Malurus lamberti,7,2009,134.192,-14.761,134.192,-14.761,132570,56.27629089,GFU,Gulf Fall and Uplands
7161,00c52ac0-c1d3-4192-9d3c-3476fef096d3,G31512,G31512,ANWC,Malurus lamberti,7,2009,133.728,-14.17,133.728,-14.17,191864.83,164.585907,GFU,Gulf Fall and Uplands
1713,00db616f-2acf-469c-b218-895ca760dd78,A20430,A20430,WAM,Malurus lamberti,4,1986,129.583333,-15.95,129.583333,-15.95,89760,190.7406006,VIB,Victoria Bonaparte
8453,029a5ca9-7c60-47a4-b672-89eb5ebc3eb3,B50556,B50556,ANWC,Malurus lamberti,9,2004,123.6261,-17.7086,123.6261,-17.7086,24494.61165,1.940161943,DAL,Dampierland
12969,029ed22f-9e51-4c22-84f8-b8d118bd3577,B40926,B40926,ANWC,Malurus lamberti,12,1987,150.6333,-34.9333,150.6333,-34.9333,14730,17.71093941,SYB,Sydney Basin
8455,02c0a1da-16d2-4d69-b255-62913930aad0,O.46731,O.46731,AM,Malurus lamberti,9,1978,139.35,-25.9,139.35,-25.9,763663.5167,45.99966049,CHC,Channel Country
2760,032c2e6f-0dfd-4ab1-a805-15ba0d4231f0,O30434,O30434,QM,Malurus lamberti,5,1994,143.233333,-24.116667,143.233333,-24.116667,650171.7654,180.513504,MGD,Mitchell Grass Downs
2765,0350c067-74b2-4c4f-affe-268b78f70085,A26061,A26061,WAM,Malurus lamberti,5,1995,114.416667,-26.183333,114.416667,-26.183333,18516.51425,41.95684052,CAR,Carnarvon
8461,03ef596d-bf1c-4301-8218-cdf9f76740a9,B40172,B40172,ANWC,Malurus lamberti,9,1985,138.2833,-30.0667,138.2833,-30.0667,286621.3816,92.188797,STP,Stony Plains
4577,041bcaf7-53c4-4938-b789-576a00a2fb0e,G6363,G6363,ANWC,Malurus lamberti,5,2002,133.115,-25.2233,133.115,-25.2233,725647.0622,414.2562866,FIN,Finke
11702,04662579-6ed6-4500-a188-cd74c4083dbb,G32247,G32247,ANWC,Malurus lamberti,10,2010,151.2253,-28.6178,151.2253,-28.6178,214880.2562,374.7987976,NAN,Nandewar
