"","MeanTempRate","Ndays35Rate","Ndays5Rate","RainRate","NDays35.5YrMean","NDays35.5Yr.Sum","NDays35.10YrMean","NDays35.10Yr.Sum","Ndays5.5YrMean","Ndays5.5YrSum","Ndays5.10YrMean","Ndays5.10YrSum","Tmean.5YrMean","Tmean.10YrMean","TotalRain.5YrSum","TotalRain.10YrSum"
"MeanTempRate",1,0.538539344595207,-0.30410045100283,-0.104682061228222,0.240609874020094,0.240609874020094,0.200656754125201,0.200656754125201,-0.218046030005254,-0.218046030005254,-0.207846267748473,-0.207846267748473,0.244828113501505,0.220064060034295,-0.0494862841129796,-0.05615512387965
"Ndays35Rate",0.538539344595207,1,0.0220441538841209,-0.578782937734829,0.413981733286996,0.413981733286996,0.35213114290688,0.352131142906881,-0.0350570571755848,-0.0350570571755848,-0.0300187882377118,-0.0300187882377118,0.128260188126898,0.109546721021308,-0.265870840579868,-0.215614096550828
"Ndays5Rate",-0.30410045100283,0.0220441538841209,1,-0.179610431862871,-0.507034622881837,-0.507034622881836,-0.537148026808835,-0.537148026808835,0.7677827826253,0.7677827826253,0.756063312364895,0.756063312364895,-0.668092449349999,-0.674618494742616,-0.356359689490752,-0.333692184880213
"RainRate",-0.104682061228222,-0.578782937734829,-0.179610431862871,1,-0.0411429348588974,-0.0411429348588974,-0.00771604375604203,-0.00771604375604203,-0.300083466619336,-0.300083466619336,-0.316434001151538,-0.316434001151538,0.296179917691738,0.307303029727966,0.74369412647751,0.665878286384245
"NDays35.5YrMean",0.240609874020094,0.413981733286996,-0.507034622881837,-0.0411429348588974,1,1,0.99256390862363,0.99256390862363,-0.726445298108709,-0.726445298108709,-0.7340815435965,-0.7340815435965,0.866447176775239,0.861477216319636,0.290677546607295,0.351821187167294
"NDays35.5Yr.Sum",0.240609874020094,0.413981733286996,-0.507034622881836,-0.0411429348588974,1,1,0.99256390862363,0.99256390862363,-0.726445298108709,-0.726445298108709,-0.7340815435965,-0.7340815435965,0.866447176775239,0.861477216319636,0.290677546607295,0.351821187167294
"NDays35.10YrMean",0.200656754125201,0.35213114290688,-0.537148026808835,-0.00771604375604203,0.99256390862363,0.99256390862363,1,1,-0.744965263945108,-0.744965263945108,-0.752463082605217,-0.752463082605217,0.87863912041543,0.876917014320521,0.310054595113413,0.359291208625105
"NDays35.10Yr.Sum",0.200656754125201,0.352131142906881,-0.537148026808835,-0.00771604375604203,0.99256390862363,0.99256390862363,1,1,-0.744965263945108,-0.744965263945108,-0.752463082605217,-0.752463082605217,0.87863912041543,0.876917014320521,0.310054595113413,0.359291208625105
"Ndays5.5YrMean",-0.218046030005254,-0.0350570571755848,0.7677827826253,-0.300083466619336,-0.726445298108709,-0.726445298108709,-0.744965263945108,-0.744965263945108,1,1,0.996999152398167,0.996999152398167,-0.89599732913074,-0.897480031465001,-0.589777169952987,-0.590585366295017
"Ndays5.5YrSum",-0.218046030005254,-0.0350570571755848,0.7677827826253,-0.300083466619336,-0.726445298108709,-0.726445298108709,-0.744965263945108,-0.744965263945108,1,1,0.996999152398167,0.996999152398167,-0.89599732913074,-0.897480031465001,-0.589777169952987,-0.590585366295017
"Ndays5.10YrMean",-0.207846267748473,-0.0300187882377118,0.756063312364895,-0.316434001151538,-0.7340815435965,-0.7340815435965,-0.752463082605217,-0.752463082605217,0.996999152398167,0.996999152398167,1,1,-0.905768609949543,-0.908330724470615,-0.603575163485164,-0.605825378702727
"Ndays5.10YrSum",-0.207846267748473,-0.0300187882377118,0.756063312364895,-0.316434001151538,-0.7340815435965,-0.7340815435965,-0.752463082605217,-0.752463082605217,0.996999152398167,0.996999152398167,1,1,-0.905768609949543,-0.908330724470615,-0.603575163485164,-0.605825378702727
"Tmean.5YrMean",0.244828113501505,0.128260188126898,-0.668092449349999,0.296179917691738,0.866447176775239,0.866447176775239,0.87863912041543,0.87863912041543,-0.89599732913074,-0.89599732913074,-0.905768609949543,-0.905768609949543,1,0.999090718378271,0.61550734187603,0.639861133771949
"Tmean.10YrMean",0.220064060034295,0.109546721021308,-0.674618494742616,0.307303029727966,0.861477216319636,0.861477216319636,0.876917014320521,0.876917014320521,-0.897480031465001,-0.897480031465001,-0.908330724470615,-0.908330724470615,0.999090718378271,1,0.620835593996994,0.643072397879078
"TotalRain.5YrSum",-0.0494862841129796,-0.265870840579868,-0.356359689490752,0.74369412647751,0.290677546607295,0.290677546607295,0.310054595113413,0.310054595113413,-0.589777169952987,-0.589777169952987,-0.603575163485164,-0.603575163485164,0.61550734187603,0.620835593996994,1,0.976338014041666
"TotalRain.10YrSum",-0.05615512387965,-0.215614096550828,-0.333692184880213,0.665878286384245,0.351821187167294,0.351821187167294,0.359291208625105,0.359291208625105,-0.590585366295017,-0.590585366295017,-0.605825378702727,-0.605825378702727,0.639861133771949,0.643072397879078,0.976338014041666,1
