sample,MeanTempRate,Ndays35Rate,Ndays5Rate,RainRate,NDays35.5YrMean,NDays35.5Yr.Sum,NDays35.10YrMean,NDays35.10Yr.Sum,Ndays5.5YrMean,Ndays5.5YrSum,Ndays5.10YrMean,Ndays5.10YrSum,Tmean.5YrMean,Tmean.10YrMean,TotalRain.5YrSum,TotalRain.10YrSum
ANWC100,-0.044695011,-0.32556391,0.807518797,8.15E-05,53.6,268,58.4,584,45.4,227,44,440,19.7080121,19.76493615,0.025529847,0.060552539
ANWC101,-0.04252688,-0.423308271,1.246616541,0.000161536,48.4,242,53.2,532,71.2,356,67.7,677,19.08388801,19.08387274,0.035496652,0.08610824
ANWC102,-0.044235716,-0.518045113,1.259398496,0.000211287,45.6,228,50.2,502,72.2,361,68.7,687,18.8675159,18.8748178,0.036987229,0.0964597
ANWC103,-0.056849864,-0.378947368,1.27443609,0.000172625,33.4,167,38,380,74.4,372,73.3,733,17.38003143,17.43887096,0.056334022,0.124940066
ANWC104,-0.037513274,-0.098496241,0.636842105,4.06E-05,26.2,131,27.6,276,48.2,241,45.5,455,17.24707656,17.24624442,0.045194242,0.098205005
ANWC105,-0.118261649,-1.490225564,0.839849624,0.000192301,49,245,58.7,587,55.4,277,52.3,523,20.11318781,20.39053322,0.065956774,0.163078218
ANWC106,-0.109426395,-1.154135338,0.536090226,0.000237329,60.8,304,65.1,651,46.6,233,42.8,428,20.38501906,20.5927034,0.060458845,0.13965864
ANWC107,-0.109426395,-1.154135338,0.536090226,0.000237329,60.8,304,65.1,651,46.6,233,42.8,428,20.38501906,20.5927034,0.060458845,0.13965864
ANWC108,-0.102811135,-0.578195489,0.097744361,9.72E-05,42.6,213,49.7,497,31,155,28.7,287,19.23104041,19.4350451,0.036535789,0.07694762
ANWC109,-0.107284847,-0.618045113,0.733082707,0.000204218,41.4,207,48.1,481,52.8,264,45.9,459,18.50781871,18.73232367,0.0502511,0.097742941
ANWC110,-0.121746444,-0.412781955,0.90075188,0.000283027,25.6,128,24.3,243,90.6,453,86.5,865,16.3688859,16.42553275,0.076946572,0.179636402
ANWC112,-0.033802164,1.236842105,0,0.000814777,183.8,919,184.6,1846,0,0,0,0,27.86279564,28.03468065,0.130849964,0.257626741
ANWC113,-0.018486178,-1.163909774,-0.004511278,0.000972282,170.8,854,171.8,1718,0,0,0.3,3,27.82864841,27.65944881,0.158129508,0.328519112
ANWC115,-0.026673252,-0.22481203,0.013533835,0.000265724,102.8,514,130.6,1306,18.6,93,22.6,226,24.07564848,24.11798964,0.06557776,0.106502279
ANWC116,-0.048060266,-0.278947368,0.013533835,0.000296865,104.4,522,129.8,1298,18.6,93,22.6,226,23.8214012,24.11313748,0.062258405,0.106502279
ANWC117,-0.088866761,-0.336842105,1.360902256,0.000493686,30.2,151,40.2,402,68.8,344,67.1,671,19.78446999,19.78799278,0.107494948,0.200943131
ANWC118,-0.07247701,-0.371428571,1.360902256,0.000460956,29.6,148,40.1,401,68.8,344,67.1,671,20.06874412,19.78289866,0.106946561,0.200714099
ANWC119,-0.01488512,2.909774436,0,0.000408544,153.4,767,148.2,1482,0,0,0,0,27.8094959,27.89695789,0.256004674,0.493214583
ANWC126,0.021419112,0.578947368,0.57593985,6.93E-05,66,330,58.4,584,50.2,251,49.6,496,20.12780674,19.93412213,0.025469425,0.055604464
ANWC128,0.015375861,1.101503759,1.036842105,0.000121925,85,425,73.4,734,52.8,264,50.9,509,20.96908236,20.65639563,0.033085238,0.073657174
ANWC129,0.01408187,1.182706767,1.146616541,0.000129607,86.8,434,75.7,757,53.6,268,50.3,503,21.07826896,20.75789575,0.03387087,0.075126294
ANWC130,0.014355162,0.870676692,1.052631579,0.000115207,83.4,417,72.1,721,53.4,267,50.5,505,20.89593693,20.60551224,0.032535103,0.071646657
ANWC131,0.012529801,0.903759398,1.036090226,0.000126043,82.6,413,71.1,711,53.6,268,51,510,20.85160976,20.547709,0.034160622,0.075211038
ANWC132,0.011707533,1.113533835,0.995488722,0.000136787,92.4,462,80.6,806,49.4,247,50.1,501,21.40463955,21.04240048,0.03746619,0.080910757
ANWC133,0.011707533,1.113533835,0.995488722,0.000136787,92.4,462,80.6,806,49.4,247,50.1,501,21.40463955,21.04240048,0.03746619,0.080910757
ANWC134,0.012939044,1.185714286,1.180451128,0.000150345,87.8,439,75.3,753,54.6,273,55.2,552,21.04954769,20.6896672,0.038693102,0.08380782
ANWC135,0.010961589,1.336842105,1.496992481,0.000180202,94.4,472,80.2,802,57.8,289,57.6,576,21.24957778,20.8703568,0.041779781,0.088901629
ANWC136,0.010961589,1.336842105,1.496992481,0.000180202,94.4,472,80.2,802,57.8,289,57.6,576,21.24957778,20.8703568,0.041779781,0.088901629
ANWC137,-0.047581844,-1.081203008,0,0.000913266,100.2,501,92.4,924,0,0,0,0,27.16625004,27.11242394,0.171191893,0.381930123
ANWC138,-0.047581844,-1.081203008,0,0.000913266,100.2,501,92.4,924,0,0,0,0,27.16625004,27.11242394,0.171191893,0.381930123
ANWC139,-0.048644155,-1.192481203,0,0.000918973,105.4,527,98.1,981,0,0,0,0,27.1910442,27.12538703,0.165899491,0.377799503
ANWC140,-0.018486178,-1.163909774,-0.004511278,0.000972282,170.8,854,171.8,1718,0,0,0.3,3,27.82864841,27.65944881,0.158129508,0.328519112
ANWC141,-0.027222826,-0.166917293,0,0.001083827,148.8,744,142.3,1423,0,0,0,0,27.18827165,27.13127165,0.181912492,0.364440398
ANWC142,-0.027222826,-0.166917293,0,0.001083827,148.8,744,142.3,1423,0,0,0,0,27.18827165,27.13127165,0.181912492,0.364440398
ANWC143,-0.027222826,-0.166917293,0,0.001083827,148.8,744,142.3,1423,0,0,0,0,27.18827165,27.13127165,0.181912492,0.364440398
ANWC144,-0.074434527,-0.927067669,0.160902256,0.000825271,164.8,824,154.5,1545,2.2,11,2.2,22,26.60943743,26.47391234,0.144292235,0.312018693
ANWC145,-0.049297794,0.003759398,0,0.000455132,145.4,727,145.1,1451,0,0,0,0,26.72309262,26.70426207,0.153191841,0.325088376
ANWC146,-0.049297794,0.003759398,0,0.000455132,145.4,727,145.1,1451,0,0,0,0,26.72309262,26.70426207,0.153191841,0.325088376
ANWC147,-0.021390483,1.377443609,0.030075188,-6.26E-05,217.2,1086,209.6,2096,0.4,2,1.3,13,27.68644311,27.51919661,0.085839815,0.183446121
ANWC148,-0.021390483,1.377443609,0.030075188,-6.26E-05,217.2,1086,209.6,2096,0.4,2,1.3,13,27.68644311,27.51919661,0.085839815,0.183446121
ANWC150,-0.02260298,1.329323308,0.036842105,-6.99E-05,206.4,1032,199.4,1994,0.4,2,1.5,15,27.37932173,27.22285803,0.083251702,0.179159183
ANWC151,-0.021390483,1.377443609,0.030075188,-6.26E-05,217.2,1086,209.6,2096,0.4,2,1.3,13,27.68644311,27.51919661,0.085839815,0.183446121
ANWC152,-0.020389345,1.408270677,3.01E-17,-7.08E-05,214.4,1072,206.2,2062,0.4,2,1.2,12,27.62069537,27.47466636,0.072722666,0.160719677
