NDays35.5YrMean,NDays35.5Yr.Sum,NDays35.10YrMean,NDays35.10Yr.Sum,Ndays5.5YrMean,Ndays5.5YrSum,Ndays5.10YrMean,Ndays5.10YrSum,Tmean.5YrMean,Tmean.10YrMean,TotalRain.5YrSum,TotalRain.10YrSum,,SAMPLE.ID,COLLECTION.ID,COLLECTION,ID,RecordID_ALA.ORIGINAL,RecordID_ALA,CatalogNumber,SEX,SPECIES,COMMON.NAME,DATE,Period,Year,Age,LATITUDE,LONGITUDE,STATE,MISSINGNESS,INBREEDING,DEPTH,PC1,PC2,PC3,MonthCapture,YearCapture,YearCat,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7,NOTE
53.6,268,58.4,584,45.4,227,44,440,19.7080121,19.76493615,0.025529847,0.060552539,1,ANWC100,B48221,ANWC,ANWC100_R1.fastq.gz,5a26ae5e-ab5c-4564-8e18-35641ab0bd1b,5a26ae5e-ab5c-4564-8e18-35641ab0bd1b,B48221,M,Malurus assimilis,Purple-Backed Fairy Wren,29/08/1996,1996 - 2000,1996,23,-31.1189,139.5664,SA,0.0960527,0.10018983,2.60025,0.374303218,-0.010105025,0.013905508,8,1996,1996,232822.9991,24.12895012,BHC,Broken Hill Complex,NA
48.4,242,53.2,532,71.2,356,67.7,677,19.08388801,19.08387274,0.035496652,0.08610824,2,ANWC101,B48235,ANWC,ANWC101_R1.fastq.gz,fe0f6ed2-facc-446f-be95-aa3f17eab95f,fe0f6ed2-facc-446f-be95-aa3f17eab95f,B48235,M,Malurus assimilis,Purple-Backed Fairy Wren,30/08/1996,1996 - 2000,1996,23,-30.3228,139.3806,SA,0.094201,0.12469589,2.6288,0.300511557,-0.014319114,0.01053378,8,1996,1996,295268.8715,277.7473145,FLB,Flinders Lofty Block,NA
45.6,228,50.2,502,72.2,361,68.7,687,18.8675159,18.8748178,0.036987229,0.0964597,3,ANWC102,B48236,ANWC,ANWC102_R1.fastq.gz,5164a108-ff2e-4557-8763-179dba2761c4,5164a108-ff2e-4557-8763-179dba2761c4,B48236,M,Malurus assimilis,Purple-Backed Fairy Wren,30/08/1996,1996 - 2000,1996,23,-30.4658,139.3111,SA,0.0788539,0.12548099,2.9786,0.317434504,-0.016640598,0.009936427,8,1996,1996,275812.4076,190.5733948,FLB,Flinders Lofty Block,NA
33.4,167,38,380,74.4,372,73.3,733,17.38003143,17.43887096,0.056334022,0.124940066,4,ANWC103,B48315,ANWC,ANWC103_R1.fastq.gz,54454424-c86c-4323-827e-a642d6497dda,54454424-c86c-4323-827e-a642d6497dda,B48315,M,Malurus assimilis,Purple-Backed Fairy Wren,2/09/1996,1996 - 2000,1996,23,-31.8356,138.3494,SA,0.0800985,0.12836471,2.92334,0.335870608,-0.010860216,0.010380996,9,1996,1996,99991.51264,269.6065063,FLB,Flinders Lofty Block,NA
26.2,131,27.6,276,48.2,241,45.5,455,17.24707656,17.24624442,0.045194242,0.098205005,5,ANWC104,B48426,ANWC,ANWC104_R1.fastq.gz,b5a58981-9c99-4633-b0d3-dbcf28a2f2d6,b5a58981-9c99-4633-b0d3-dbcf28a2f2d6,B48426,M,Malurus assimilis,Purple-Backed Fairy Wren,7/09/1996,1996 - 2000,1996,23,-32.0911,133.6228,SA,0.159332,0.13024583,1.93588,-0.095547216,-0.053593109,-0.019511794,9,1996,1996,7455.212941,23.37136078,EYB,Eyre Yorke Block,NA
49,245,58.7,587,55.4,277,52.3,523,20.11318781,20.39053322,0.065956774,0.163078218,6,ANWC105,B49330,ANWC,ANWC105_R1.fastq.gz,6bc82c9f-1429-483a-a448-e74d2d437fb7,6bc82c9f-1429-483a-a448-e74d2d437fb7,B49330,M,Malurus assimilis,Purple-Backed Fairy Wren,14/10/1997,1996 - 2000,1997,22,-29.4217,147.555,NSW,0.154911,0.09964541,2.00354,0.470163555,-0.003085691,0.017553711,10,1997,1997,533366.7131,129.9203033,DRP,Darling Riverine Plains,NA
60.8,304,65.1,651,46.6,233,42.8,428,20.38501906,20.5927034,0.060458845,0.13965864,7,ANWC106,B49357,ANWC,ANWC106_R1.fastq.gz,7513b158-1cba-451c-9df0-446604aa5924,7513b158-1cba-451c-9df0-446604aa5924,B49357,M,Malurus assimilis,Purple-Backed Fairy Wren,15/10/1997,1996 - 2000,1997,22,-29.9222,145.7606,NSW,0.119206,0.09375598,2.20522,0.601993058,-0.012374825,0.036948433,10,1997,1997,656184.4973,102.9981003,MUL,Mulga Lands,NA
60.8,304,65.1,651,46.6,233,42.8,428,20.38501906,20.5927034,0.060458845,0.13965864,8,ANWC107,B49358,ANWC,ANWC107_R1.fastq.gz,0e5c7faf-f4bc-48ce-af5d-991351a59bbb,0e5c7faf-f4bc-48ce-af5d-991351a59bbb,B49358,M,Malurus assimilis,Purple-Backed Fairy Wren,15/10/1997,1996 - 2000,1997,22,-29.9222,145.7606,NSW,0.0430202,0.09040311,3.64599,0.561074192,-0.015494693,0.038523704,10,1997,1997,656184.4973,102.9981003,MUL,Mulga Lands,NA
42.6,213,49.7,497,31,155,28.7,287,19.23104041,19.4350451,0.036535789,0.07694762,9,ANWC108,B49438,ANWC,ANWC108_R1.fastq.gz,0ae2e56c-bbae-416b-bd83-0f83a46d5541,0ae2e56c-bbae-416b-bd83-0f83a46d5541,B49438,M,Malurus assimilis,Purple-Backed Fairy Wren,18/10/1997,1996 - 2000,1997,22,-31.1583,141.2942,NSW,0.0657053,0.09407026,3.04118,0.387950498,-0.007616078,0.018892526,10,1997,1997,362140.7418,138.8618011,BHC,Broken Hill Complex,NA
41.4,207,48.1,481,52.8,264,45.9,459,18.50781871,18.73232367,0.0502511,0.097742941,10,ANWC109,B49452,ANWC,ANWC109_R1.fastq.gz,aa700b0d-8ea3-4db3-9109-ad8a7fd2283e,aa700b0d-8ea3-4db3-9109-ad8a7fd2283e,B49452,M,Malurus assimilis,Purple-Backed Fairy Wren,19/10/1997,1996 - 2000,1997,22,-32.2111,142.2208,NSW,0.0747729,0.12378978,2.81289,0.467378014,-0.013821919,0.024068385,10,1997,1997,403367.3592,73.0911026,BHC,Broken Hill Complex,NA
