,COLLECTION.ID,Number,ID,SAMPLE.ID,SEX,SPECIES,COLLECTION,COMMON.NAME,DATE,Period,Year,Age,LATITUDE,LONGITUDE,STATE,MISSINGNESS,INBREEDING,DEPTH,PC1,PC2,PC3,RecordID_ALA.ORIGINAL,RecordID_ALA,CatalogNumber,Collection,MonthCapture,YearCapture,Latitude,Longitude,distance2coast_m,elevation,IBRA_REG_CODE_7,IBRA_REG_NAME_7,NOTE
18,ABTC113310,14,SAM29_R1.fastq.gz,SAM29,M,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,11/10/05,2001 - 2005,2005,14,-34.3422,139.4861,SA,0.149348,0.25502095,3.07594,0.701385218,-0.038453732,0.068908882,0795e393-1524-42d5-9b33-b80f08f9511a,0795e393-1524-42d5-9b33-b80f08f9511a,ABTC113310,ABTC,10,2005,-34.3422,139.4861,101218.363,80.13612366,MDD,Murray Darling Depression,NA
76,B49438,69,ANWC108_R1.fastq.gz,ANWC108,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,18/10/97,1996 - 2000,1997,22,-31.1583,141.2942,NSW,0.0657053,0.09407026,3.04118,0.387950498,-0.007616078,0.018892526,0ae2e56c-bbae-416b-bd83-0f83a46d5541,0ae2e56c-bbae-416b-bd83-0f83a46d5541,B49438,ANWC,10,1997,-31.1583,141.2942,362140.7418,138.8618011,BHC,Broken Hill Complex,NA
75,B49358,71,ANWC107_R1.fastq.gz,ANWC107,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,15/10/97,1996 - 2000,1997,22,-29.9222,145.7606,NSW,0.0430202,0.09040311,3.64599,0.561074192,-0.015494693,0.038523704,0e5c7faf-f4bc-48ce-af5d-991351a59bbb,0e5c7faf-f4bc-48ce-af5d-991351a59bbb,B49358,ANWC,10,1997,-29.9222,145.7606,656184.4973,102.9981003,MUL,Mulga Lands,NA
121,B55435,114,ANWC163_R1.fastq.gz,ANWC163,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,29/7/10,2006 - 2010,2010,9,-18.107,128.759,WA,0.0147537,0.08894502,5.69071,-0.233332815,0.126039164,0.080843395,0ed9d536-ed5e-4853-a6ef-1f0c1c82ea81,0ed9d536-ed5e-4853-a6ef-1f0c1c82ea81,B55435,ANWC,7,2010,-18.107,128.759,303426.761,358.9408875,OVP,Ord Victoria Plain,NA
26,ABTC119512,91,SAM34_R1.fastq.gz,SAM34,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,29/7/07,2006 - 2010,2007,12,-29.8947,130.0892,SA,0.2012,0.19277968,2.05416,-0.282975661,-0.096767374,-0.032354129,11a7312d-fbb1-4f1a-b8e3-3426c4e5d2b3,11a7312d-fbb1-4f1a-b8e3-3426c4e5d2b3,ABTC119512,ABTC,7,2007,-29.8947,130.0892,190740,153.3574982,GVD,Great Victoria Desert,NA
86,B54028,72,ANWC126_R1.fastq.gz,ANWC126,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,1/8/08,2006 - 2010,2008,11,-29.5719,128.4172,WA,0.0257783,0.08939377,4.15291,-0.2522429,-0.155854832,-0.047448066,137984ca-f2f6-4770-ae56-44a999813565,137984ca-f2f6-4770-ae56-44a999813565,B54028,ANWC,8,2008,-29.5719,128.4172,242875.1753,209.3856049,NUL,Nullarbor,NA
91,B54256,53,ANWC132_R1.fastq.gz,ANWC132,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,11/8/08,2006 - 2010,2008,11,-28.2997,125.9081,WA,0.0736281,0.09322575,2.75582,-0.290936855,-0.130735058,-0.040624581,177f1a76-2dc2-4c1a-9481-cb5ddccc1b32,177f1a76-2dc2-4c1a-9481-cb5ddccc1b32,B54256,ANWC,8,2008,-28.2997,125.9081,440900.5971,325.2197876,GVD,Great Victoria Desert,NA
118,B55399,104,ANWC160_R1.fastq.gz,ANWC160,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,27/7/10,2006 - 2010,2010,9,-18.9261,127.7076,WA,0.112982,0.130605,2.60235,-0.205575793,0.048991136,0.033495234,186b8f9c-1b0e-4ffb-b865-8bceb4f062ef,186b8f9c-1b0e-4ffb-b865-8bceb4f062ef,B55399,ANWC,7,2010,-18.9261,127.7076,382269.1367,359.7543945,OVP,Ord Victoria Plain,NA
42,ABTC73791,24,SAM17_R1.fastq.gz,SAM17,F,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,21/9/99,1996 - 2000,1999,20,-26.9828,134.8106,SA,0.12885,0.10074149,2.21484,-0.011038773,-0.020163229,-0.012420643,1de0d5d6-62ce-4bc7-b772-bf8672153a21,1de0d5d6-62ce-4bc7-b772-bf8672153a21,ABTC73791,ABTC,9,1999,-26.9828,134.8106,586287.305,187.7335052,FIN,Finke,NA
41,ABTC38831,26,SAM16_R1.fastq.gz,SAM16,F,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,16/9/98,1996 - 2000,1998,21,-26.3811,137.3633,SA,0.0946434,0.09822602,2.55003,-0.009711446,-0.012510724,-0.008349219,22231814-3571-4792-b179-49907093d435,22231814-3571-4792-b179-49907093d435,ABTC38831,ABTC,9,1998,-26.3811,137.3633,695709.3085,31.3708992,SSD,Simpson Strzelecki Dunefields,NA
19,ABTC113311,13,SAM30_R1.fastq.gz,SAM30,M,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,3/10/05,2001 - 2005,2005,14,-34.3481,139.4911,SA,0.312735,0.38815808,2.92842,0.83078455,-0.040400212,0.089560205,27ecdca4-60c0-43f4-8ec4-6648374e73e8,27ecdca4-60c0-43f4-8ec4-6648374e73e8,ABTC113311,ABTC,10,2005,-34.3481,139.4911,101218.363,81.03027344,MDD,Murray Darling Depression,NA
40,ABTC38802,34,SAM15_R1.fastq.gz,SAM15,F,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,11/9/98,1996 - 2000,1998,21,-26.0417,137.6036,SA,0.0777462,0.12406892,2.84361,0.009127527,-0.004200218,-0.00196176,2a2be9be-0a29-42b0-bd67-337e1b0a4cc0,2a2be9be-0a29-42b0-bd67-337e1b0a4cc0,ABTC38802,ABTC,9,1998,-26.0417,137.6036,734975.6054,26.7509594,SSD,Simpson Strzelecki Dunefields,NA
51,B29377.b,108,ANWC68_R1.fastq.gz,ANWC68,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,5/10/01,2001 - 2005,2001,18,-17.575,139.75,QLD,0.183934,0.19312871,1.89356,0.119338707,0.193974603,-0.283796428,2b9f0c71-7edf-44cc-9efd-836e382bf58a,2b9f0c71-7edf-44cc-9efd-836e382bf58a,B29377,ANWC,10,139.8,-17.625,-17.625,5610,0.9631688,GUP,Gulf Plains,NA
79,B50538,70,ANWC112_R1.fastq.gz,ANWC112,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,29/9/04,2001 - 2005,2004,15,-17.7086,123.6261,WA,0.0618485,0.23942086,3.95828,-0.232235859,0.046431981,0.030197959,2d96f570-35c6-4197-bdab-57e170a658c0,2d96f570-35c6-4197-bdab-57e170a658c0,B50538,ANWC,9,2004,-17.7086,123.6261,24494.61165,1.940161943,DAL,Dampierland,NA
102,B54740,103,ANWC143_R1.fastq.gz,ANWC143,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,17/7/09,2006 - 2010,2009,10,-14.172,133.741,NT,0.130807,0.1397974,2.36944,-0.215126908,0.108083226,-0.005258544,2f81eee4-1f15-471c-a0c5-ddc391c517a0,2f81eee4-1f15-471c-a0c5-ddc391c517a0,B54740,ANWC,7,2009,-14.172,133.741,191864.83,125.0743027,GFU,Gulf Fall and Uplands,NA
78,B49626,74,ANWC110_R1.fastq.gz,ANWC110,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,10/11/98,1996 - 2000,1998,21,-34.0167,147.085,NSW,0.11543,0.12671722,2.29716,0.522521156,-0.000877845,0.02566867,3085d0fd-8fe3-4289-9dfb-1d73e58be9fc,3085d0fd-8fe3-4289-9dfb-1d73e58be9fc,B49626,ANWC,11,1998,-34.0167,147.085,343792.689,282.0733032,NSS,NSW South Western Slopes,NA
60,B33205,119,ANWC80_R1.fastq.gz,ANWC80,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,14/5/02,2001 - 2005,2002,17,-22.0247,117.6447,WA,0.0783412,0.1246814,NA,-0.182904614,-0.053981081,1049661,335c819c-c4c8-47ca-807e-4e77af259314,335c819c-c4c8-47ca-807e-4e77af259314,B33205,ANWC,5,2002,-22.0247,117.6447,144399.9979,418.3505859,PIL,Pilbara,NA
123,B55503,107,ANWC170_R1.fastq.gz,ANWC170,F,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,1/11/10,2006 - 2010,2010,9,-23.8655,148.1329,QLD,0.123543,0.18210904,3.94099,0.197773976,0.029765066,-0.004843411,33bce121-7fc3-42f8-be6a-2cddc2cb7b96,33bce121-7fc3-42f8-be6a-2cddc2cb7b96,B55503,ANWC,11,2010,-23.8655,148.1329,225641.663,237.5626984,BBN,Brigalow Belt North,NA
96,B54435,77,ANWC137_R1.fastq.gz,ANWC137,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,3/7/09,2006 - 2010,2009,10,-15.642,136.419,NT,0.165927,0.37454757,3.05831,-0.196146619,0.265571847,-0.119915755,36186e58-c406-4bed-8a61-79ebc2a168db,36186e58-c406-4bed-8a61-79ebc2a168db,B54435,ANWC,7,2009,-15.692,136.469,0,1.574169993,GUC,Gulf Coastal,NA
49,B29336,78,ANWC66_R1.fastq.gz,ANWC66,M,Malurus assimilis,ANWC,Purple-Backed Fairy Wren,4/10/01,2001 - 2005,2001,18,-17.7333,139.5917,QLD,0.164405,0.20015351,2.14302,0.134319848,0.448190542,-0.727372476,37bbed9c-2d6c-482e-813a-70bf7f75b747,37bbed9c-2d6c-482e-813a-70bf7f75b747,B29336,ANWC,10,2001,-17.7333,139.5917,24494.61165,2.078464031,GUP,Gulf Plains,NA
17,ABTC113234,15,SAM28_R1.fastq.gz,SAM28,,Malurus assimilis,ABTC,Purple-Backed Fairy Wren,8/11/04,2001 - 2005,2004,15,-34.3753,139.4794,SA,0.0816876,0.12864323,3.31841,0.70828447,-0.033574591,0.080191886,3c084a72-ec53-4578-a32d-dabc73076cb4,3c084a72-ec53-4578-a32d-dabc73076cb4,ABTC113234,ABTC,11,2004,-34.3753,139.4794,99176.70946,80.77060699,MDD,Murray Darling Depression,NA
