sample,MeanTemp,Ndays35,Ndays5,Rain
ANWC100,-0.044695011,-0.32556391,0.807518797,8.15E-05
ANWC101,-0.04252688,-0.423308271,1.246616541,0.000161536
ANWC102,-0.044235716,-0.518045113,1.259398496,0.000211287
ANWC103,-0.056849864,-0.378947368,1.27443609,0.000172625
ANWC104,-0.037513274,-0.098496241,0.636842105,4.06E-05
ANWC105,-0.118261649,-1.490225564,0.839849624,0.000192301
ANWC106,-0.109426395,-1.154135338,0.536090226,0.000237329
ANWC107,-0.109426395,-1.154135338,0.536090226,0.000237329
ANWC108,-0.102811135,-0.578195489,0.097744361,9.72E-05
ANWC109,-0.107284847,-0.618045113,0.733082707,0.000204218
ANWC110,-0.121746444,-0.412781955,0.90075188,0.000283027
ANWC112,-0.033802164,1.236842105,0,0.000814777
ANWC113,-0.018486178,-1.163909774,-0.004511278,0.000972282
ANWC115,-0.026673252,-0.22481203,0.013533835,0.000265724
ANWC116,-0.048060266,-0.278947368,0.013533835,0.000296865
ANWC117,-0.088866761,-0.336842105,1.360902256,0.000493686
ANWC118,-0.07247701,-0.371428571,1.360902256,0.000460956
ANWC119,-0.01488512,2.909774436,0,0.000408544
ANWC126,0.021419112,0.578947368,0.57593985,6.93E-05
ANWC128,0.015375861,1.101503759,1.036842105,0.000121925
ANWC129,0.01408187,1.182706767,1.146616541,0.000129607
ANWC130,0.014355162,0.870676692,1.052631579,0.000115207
ANWC131,0.012529801,0.903759398,1.036090226,0.000126043
ANWC132,0.011707533,1.113533835,0.995488722,0.000136787
ANWC133,0.011707533,1.113533835,0.995488722,0.000136787
ANWC134,0.012939044,1.185714286,1.180451128,0.000150345
ANWC135,0.010961589,1.336842105,1.496992481,0.000180202
ANWC136,0.010961589,1.336842105,1.496992481,0.000180202
ANWC137,-0.047581844,-1.081203008,0,0.000913266
ANWC138,-0.047581844,-1.081203008,0,0.000913266
ANWC139,-0.048644155,-1.192481203,0,0.000918973
ANWC140,-0.018486178,-1.163909774,-0.004511278,0.000972282
ANWC141,-0.027222826,-0.166917293,0,0.001083827
ANWC142,-0.027222826,-0.166917293,0,0.001083827
ANWC143,-0.027222826,-0.166917293,0,0.001083827
ANWC144,-0.074434527,-0.927067669,0.160902256,0.000825271
ANWC145,-0.049297794,0.003759398,0,0.000455132
ANWC146,-0.049297794,0.003759398,0,0.000455132
ANWC147,-0.021390483,1.377443609,0.030075188,-6.26E-05
ANWC148,-0.021390483,1.377443609,0.030075188,-6.26E-05
ANWC150,-0.02260298,1.329323308,0.036842105,-6.99E-05
ANWC151,-0.021390483,1.377443609,0.030075188,-6.26E-05
ANWC152,-0.020389345,1.408270677,3.01E-17,-7.08E-05
ANWC153,-0.020389345,1.408270677,3.01E-17,-7.08E-05
ANWC154,-0.020389345,1.408270677,3.01E-17,-7.08E-05
ANWC155,-0.020704868,1.453383459,3.01E-17,-5.52E-05
ANWC156,-0.020704868,1.453383459,3.01E-17,-5.52E-05
ANWC157,-0.022023031,1.493984962,0.018045113,-7.60E-05
ANWC158,-0.037829544,0.719548872,0.019548872,-0.000200152
ANWC159,-0.037829544,0.719548872,0.019548872,-0.000200152
ANWC160,-0.027631395,0.811278195,-0.002255639,-9.93E-05
ANWC161,-0.027631395,0.811278195,-0.002255639,-9.93E-05
ANWC162,-0.048008566,0.120300752,0.160150376,-0.000187001
ANWC163,-0.048544108,0.161654135,0.163157895,-0.000174237
ANWC168,-0.082062217,-0.366917293,0.25112782,0.000162483
ANWC170,-0.067963159,-0.34962406,-0.272932331,0.000272123
ANWC66,-0.075512801,-2.545112782,-0.009774436,0.0013459
ANWC67,-0.075512801,-2.545112782,-0.009774436,0.0013459
ANWC68,-0.070547026,-2.839849624,0,0.001295635
ANWC69,-0.070547026,-2.839849624,0,0.001295635
ANWC71,-0.181686302,-0.151879699,0.976691729,0.000229994
ANWC72,0.018092716,0.72481203,-0.176691729,0.000110516
ANWC73,0.018092716,0.72481203,-0.176691729,0.000110516
ANWC75,0.039343091,1.24887218,-0.80075188,0.00036341
ANWC77,-0.005447681,0.9,0.188721805,0.000390429
ANWC78,-0.043079049,-0.045864662,1.166165414,0.000531473
ANWC79,-0.032892848,1.464661654,0.05037594,0.000304314
ANWC80,-0.032464703,0.882706767,-0.027819549,0.000569928
ANWC81,0.040392266,1.179699248,-0.015037594,2.52E-05
ANWC84,-0.034151451,1.616541353,NA,-0.0001962
ANWC85,-0.038141185,1.339097744,NA,-0.000133967
ANWC88,-0.078498882,-0.779699248,NA,0.000156052
ANWC90,-0.028411476,0.008270677,NA,0.000292885
ANWC92,-0.024596046,-0.032330827,NA,0.000308607
ANWC94,-0.037101166,0.104511278,0.353383459,0.000311671
SAM11,-0.0775813,-0.644360902,0.153383459,-4.19E-05
SAM12,-0.07423256,-0.776691729,0.008270677,-5.48E-05
SAM14,-0.067943752,-0.527067669,0.395488722,5.71E-06
SAM15,-0.067943752,-0.527067669,0.395488722,5.71E-06
SAM16,-0.068795315,-0.490225564,0.303759398,5.33E-06
SAM17,-0.055752281,-0.021052632,-0.259398496,8.63E-05
SAM18,-0.055752281,-0.021052632,-0.259398496,8.63E-05
SAM19,-0.096275394,-0.193233083,3.006015038,0.000136285
SAM20,-0.077517992,-0.130075188,0.579699248,7.89E-05
SAM21,-0.077517992,-0.130075188,0.579699248,7.89E-05
SAM25,-0.051028491,0.264661654,1.073684211,9.58E-05
SAM26,-0.064919429,0.307518797,1.073684211,0.000105216
SAM27,-0.064919429,0.307518797,1.073684211,0.000105216
