SAMPLE.ID,YearJD,Ndays5
ANWC67,1982,0
ANWC67,1981,0
ANWC67,1983,0
ANWC67,1991,0
ANWC67,1984,1
ANWC67,1986,0
ANWC67,1987,0
ANWC67,1988,0
ANWC67,1989,0
ANWC67,1990,0
ANWC67,1999,0
ANWC67,1992,0
ANWC67,1985,0
ANWC67,1994,0
ANWC67,1995,0
ANWC67,1996,0
ANWC67,1997,0
ANWC67,1998,0
ANWC67,2000,0
ANWC67,1993,0
ANWC67,2001,0
ANWC68,1987,0
ANWC68,1981,0
ANWC68,1982,0
ANWC68,1983,0
ANWC68,1984,0
ANWC68,1985,0
ANWC68,1995,0
ANWC68,1988,0
ANWC68,1986,0
ANWC68,1989,0
ANWC68,1990,0
ANWC68,1991,0
ANWC68,1992,0
ANWC68,1993,0
ANWC68,1994,0
ANWC68,1997,0
ANWC68,1996,0
ANWC68,2000,0
ANWC68,1998,0
ANWC68,1999,0
ANWC68,2001,0
ANWC84,1988,0
ANWC92,1974,0
ANWC92,1975,0
ANWC92,1976,1
ANWC92,1977,4
ANWC92,1978,3
ANWC92,1982,7
ANWC92,1980,0
ANWC92,1981,3
ANWC92,1979,4
ANWC92,1983,4
ANWC94,1987,34
ANWC94,1984,31
ANWC94,1985,34
ANWC94,1983,32
ANWC94,1986,31
ANWC94,1988,22
ANWC94,1981,8
ANWC94,1982,40
ANWC94,1979,20
ANWC94,1980,21
ANWC94,1974,1
ANWC94,1975,31
ANWC94,1976,40
ANWC94,1977,26
ANWC94,1978,28
ANWC94,1991,14
ANWC94,1992,36
ANWC94,1993,26
ANWC94,1994,40
ANWC94,1989,39
ANWC94,1990,24
ANWC100,1982,56
ANWC100,1983,49
ANWC100,1976,0
ANWC100,1977,46
ANWC100,1978,38
ANWC100,1979,36
ANWC100,1980,40
ANWC100,1981,32
ANWC100,1990,32
ANWC100,1984,46
ANWC100,1985,59
ANWC100,1986,47
ANWC100,1987,46
ANWC100,1988,34
ANWC100,1989,54
ANWC101,1986,70
ANWC101,1987,66
ANWC101,1976,3
ANWC101,1977,73
ANWC101,1978,63
ANWC101,1979,64
ANWC101,1980,56
ANWC101,1981,49
ANWC101,1982,78
ANWC101,1983,63
ANWC101,1984,80
ANWC101,1985,76
ANWC101,1988,48
ANWC101,1989,75
ANWC101,1990,62
ANWC102,1990,63
ANWC102,1976,5
ANWC102,1977,74
ANWC102,1978,60
ANWC102,1979,66
ANWC102,1980,56
ANWC102,1981,50
ANWC102,1982,82
ANWC102,1983,62
ANWC102,1984,80
ANWC102,1985,77
ANWC102,1986,72
ANWC102,1987,67
ANWC102,1988,48
ANWC102,1989,76
ANWC103,1976,2
ANWC103,1977,72
ANWC103,1978,68
ANWC103,1979,68
ANWC103,1980,70
