SAMPLE.ID,YearJD,RainSum
ANWC100,1995,0.005133781
ANWC100,1994,0.003552937
ANWC100,1993,0.005097369
ANWC100,1992,0.010057912
ANWC100,1991,0.001687848
ANWC100,1989,0.00949466
ANWC100,1988,0.005343142
ANWC100,1987,0.004420148
ANWC100,1986,0.004604056
ANWC100,1985,0.002792132
ANWC100,1984,0.003310537
ANWC100,1983,0.008401904
ANWC100,1982,0.001237674
ANWC100,1981,0.004359219
ANWC100,1980,0.004981265
ANWC100,1979,0.006729307
ANWC100,1978,0.007172477
ANWC100,1977,0.00268608
ANWC100,1976,0.001876882
ANWC101,1995,0.00662601
ANWC101,1994,0.006754781
ANWC101,1993,0.010618039
ANWC101,1992,0.009616921
ANWC101,1991,0.001880901
ANWC101,1989,0.015706902
ANWC101,1988,0.008562368
ANWC101,1987,0.007525846
ANWC101,1986,0.007072102
ANWC101,1985,0.006164851
ANWC101,1984,0.003859796
ANWC101,1983,0.009235454
ANWC101,1982,0.00192024
ANWC101,1981,0.004808173
ANWC101,1980,0.00504616
ANWC101,1979,0.012997863
ANWC101,1978,0.009271687
ANWC101,1977,0.003173474
ANWC101,1976,0.002374777
ANWC102,1995,0.007183695
ANWC102,1994,0.007469913
ANWC102,1993,0.010989878
ANWC102,1992,0.009220539
ANWC102,1991,0.002123204
ANWC102,1989,0.020235698
ANWC102,1988,0.009706837
ANWC102,1987,0.008350495
ANWC102,1986,0.006871967
ANWC102,1985,0.006675268
ANWC102,1984,0.0044845
ANWC102,1983,0.009168503
ANWC102,1982,0.001690428
ANWC102,1981,0.005291936
ANWC102,1980,0.004876996
ANWC102,1979,0.012849064
ANWC102,1978,0.009755788
ANWC102,1977,0.003054461
ANWC102,1976,0.002352798
ANWC103,1995,0.010887471
ANWC103,1994,0.008045042
ANWC103,1993,0.008135537
ANWC103,1992,0.021809708
ANWC103,1991,0.007456264
ANWC103,1989,0.017417313
ANWC103,1988,0.00935754
ANWC103,1987,0.009101529
ANWC103,1986,0.012809096
ANWC103,1985,0.008854781
ANWC103,1984,0.00715785
ANWC103,1983,0.011076237
ANWC103,1982,0.002710694
ANWC103,1981,0.010287061
ANWC103,1980,0.012589136
ANWC103,1979,0.014962221
ANWC103,1978,0.010977559
ANWC103,1977,0.007910509
ANWC103,1976,0.004271174
ANWC104,1995,0.007640085
ANWC104,1994,0.006279355
ANWC104,1993,0.007300607
ANWC104,1992,0.016110647
ANWC104,1991,0.007863548
ANWC104,1989,0.009097947
ANWC104,1988,0.005837619
ANWC104,1987,0.007512891
ANWC104,1986,0.009704884
ANWC104,1985,0.007871055
ANWC104,1984,0.008193646
ANWC104,1983,0.011660268
ANWC104,1982,0.006600075
ANWC104,1981,0.00859517
ANWC104,1980,0.008612493
ANWC104,1979,0.011152228
ANWC104,1978,0.011996937
ANWC104,1977,0.006618398
ANWC104,1976,0.003174125
ANWC105,1996,0.015016051
ANWC105,1995,0.014318051
ANWC105,1994,0.012438924
ANWC105,1993,0.013561548
ANWC105,1992,0.0106222
ANWC105,1991,0.0113489
ANWC105,1989,0.015045439
ANWC105,1988,0.017213633
ANWC105,1987,0.01228199
ANWC105,1986,0.010909999
ANWC105,1985,0.012043707
ANWC105,1984,0.014485569
ANWC105,1983,0.025433372
ANWC105,1982,0.007430014
ANWC105,1981,0.014052675
ANWC105,1980,0.007524746
ANWC105,1979,0.008228987
ANWC105,1978,0.015445439
ANWC105,1977,0.004487635
ANWC106,1996,0.0113243
ANWC106,1995,0.008646369
ANWC106,1994,0.01804814
ANWC106,1993,0.009657933
ANWC106,1992,0.012782103
ANWC106,1991,0.008988149
ANWC106,1989,0.011795176
ANWC106,1988,0.015470335
ANWC106,1987,0.014846747
ANWC106,1986,0.009606277
ANWC106,1985,0.009770387
ANWC106,1984,0.009496632
ANWC106,1983,0.019806895
ANWC106,1982,0.004293031
ANWC106,1981,0.013596024
ANWC106,1980,0.006645978
ANWC106,1979,0.005587264
ANWC106,1978,0.013963626
ANWC106,1977,0.002419281
ANWC107,1996,0.0113243
ANWC107,1995,0.008646369
ANWC107,1994,0.01804814
ANWC107,1993,0.009657933
ANWC107,1992,0.012782103
ANWC107,1991,0.008988149
ANWC107,1989,0.011795176
ANWC107,1988,0.015470335
ANWC107,1987,0.014846747
ANWC107,1986,0.009606277
ANWC107,1985,0.009770387
ANWC107,1984,0.009496632
ANWC107,1983,0.019806895
ANWC107,1982,0.004293031
ANWC107,1981,0.013596024
ANWC107,1980,0.006645978
ANWC107,1979,0.005587264
ANWC107,1978,0.013963626
ANWC107,1977,0.002419281
ANWC108,1996,0.007720482
ANWC108,1995,0.006889423
ANWC108,1994,0.003271646
ANWC108,1993,0.007562272
ANWC108,1992,0.011091966
ANWC108,1991,0.002647387
ANWC108,1989,0.008576623
ANWC108,1988,0.006895003
ANWC108,1987,0.009358194
ANWC108,1986,0.004729699
ANWC108,1985,0.00510617
ANWC108,1984,0.003738003
ANWC108,1983,0.010172561
ANWC108,1982,0.001645309
ANWC108,1981,0.005614919
ANWC108,1980,0.003944795
ANWC108,1979,0.008024865
ANWC108,1978,0.009961525
ANWC108,1977,0.001007204
ANWC109,1996,0.008742811
ANWC109,1995,0.006830262
ANWC109,1994,0.00603201
ANWC109,1993,0.008917208
ANWC109,1992,0.019728809
ANWC109,1991,0.003873026
ANWC109,1989,0.01157264
ANWC109,1988,0.009472949
ANWC109,1987,0.008517268
ANWC109,1986,0.007160624
ANWC109,1985,0.006420906
ANWC109,1984,0.005246611
ANWC109,1983,0.012760462
ANWC109,1982,0.001732737
ANWC109,1981,0.00703267
ANWC109,1980,0.006553476
ANWC109,1979,0.006249709
ANWC109,1978,0.011723926
ANWC109,1977,0.000564409
ANWC110,1997,0.011728616
ANWC110,1996,0.014140084
ANWC110,1995,0.016356353
ANWC110,1994,0.015200435
ANWC110,1993,0.019521084
ANWC110,1992,0.01932787
ANWC110,1991,0.012317958
ANWC110,1989,0.015962281
ANWC110,1988,0.019975143
ANWC110,1987,0.013822037
ANWC110,1986,0.013115119
ANWC110,1985,0.018458396
ANWC110,1984,0.011672437
ANWC110,1983,0.027048796
ANWC110,1982,0.006709656
ANWC110,1981,0.013867744
ANWC110,1980,0.01174532
ANWC110,1979,0.010139624
ANWC110,1978,0.003967742
ANWC112,2003,0.024771083
ANWC112,2002,0.01794511
ANWC112,2001,0.020848007
ANWC112,2000,0.037205078
ANWC112,1999,0.030080686
ANWC112,1998,0.028497222
ANWC112,1997,0.020813653
ANWC112,1996,0.040042756
ANWC112,1995,0.017154704
ANWC112,1994,0.020268392
ANWC112,1993,0.022571563
ANWC112,1992,0.008400387
ANWC112,1991,0.014105249
ANWC112,1989,0.021595468
ANWC112,1988,0.013073569
ANWC112,1987,0.018234435
ANWC112,1986,0.011017259
ANWC112,1985,0.023285946
ANWC112,1984,0.005998494
ANWC113,2008,0.041985842
ANWC113,2007,0.026786888
ANWC113,2006,0.036390065
ANWC113,2005,0.020047419
ANWC113,2004,0.032919294
ANWC113,2003,0.033942526
ANWC113,2002,0.031382741
ANWC113,2001,0.032722087
ANWC113,2000,0.039705413
ANWC113,1999,0.032636837
ANWC113,1998,0.030555285
ANWC113,1997,0.027279034
ANWC113,1996,0.019535939
ANWC113,1995,0.018459598
ANWC113,1994,0.020490831
ANWC113,1993,0.023456931
ANWC113,1992,0.030591672
ANWC113,1991,0.018861765
ANWC113,1989,0.009618926
ANWC115,2008,0.018760343
ANWC115,2007,0.010693551
ANWC115,2006,0.011827851
ANWC115,2005,0.009954904
ANWC115,2004,0.014341111
