SAMPLE.ID,YearJJ,Tmean
SAM28,1995,11.11900528
SAM46,1995,11.16428312
SAM28,2003,11.25672007
SAM46,2003,11.35755364
SAM44,1995,11.3669219
SAM28,1987,11.48342768
SAM28,1991,11.60092282
SAM28,1999,11.62496837
SAM46,1991,11.62675627
SAM44,2003,11.68560902
SAM46,1987,11.76634439
SAM45,1995,11.76880344
SAM44,1991,11.84564519
SAM46,1999,11.85010719
SAM44,1987,11.85537211
SAM44,1999,12.06371832
SAM45,1991,12.1687634
SAM45,1987,12.27311389
SAM45,2003,12.2943457
SAM45,1999,12.33293875
SAM45,1986,13.06277379
SAM45,2002,13.26210491
SAM45,1990,13.47576157
SAM45,1994,13.50673405
SAM45,1998,13.55318968
SAM44,1986,13.600583
SAM44,2002,13.89114626
SAM44,1990,13.98585113
SAM19,1995,14.0734218
SAM44,1998,14.12836893
SAM44,1994,14.13836924
SAM19,1986,14.14493386
SAM19,1996,14.15726757
SAM19,1984,14.30576662
SAM19,1998,14.4885364
SAM46,1986,14.53537695
SAM19,1991,14.54004168
SAM19,1992,14.57216756
SAM19,1997,14.57896078
SAM19,1999,14.62803721
SAM19,1993,14.63863937
SAM19,1983,14.72144775
SAM19,1985,14.74168952
SAM46,1994,14.74170701
SAM19,1987,14.78793534
SAM19,1994,14.86774675
SAM46,2002,14.90323853
SAM46,1998,14.91821694
SAM19,1982,14.94406911
SAM46,1990,14.98535824
SAM19,1989,15.03219978
ANWC92,1994,15.03560619
SAM19,1981,15.15346106
ANWC88,1994,15.19789276
SAM19,1990,15.35709143
ANWC103,1996,15.37333616
SAM28,1986,15.4492077
SAM29,2005,15.48163605
SAM30,2005,15.48163605
SAM19,1988,15.48577928
SAM28,1990,15.51240571
SAM19,1980,15.55640721
SAM28,2002,15.59337767
ANWC90,1994,15.61585617
SAM28,1994,15.62414869
ANWC92,1986,15.62578487
SAM28,1998,15.71572137
ANWC110,1992,15.7673796
ANWC92,1979,15.77677377
ANWC92,1992,15.80185413
ANWC110,1984,15.84144974
ANWC92,1984,15.85178812
ANWC92,1976,15.86750746
ANWC92,1978,15.88175551
ANWC110,1986,15.88891435
ANWC92,1977,15.91410987
ANWC110,1998,15.91786254
SAM25,2004,15.92226057
ANWC92,1985,15.92484061
SAM32,2005,15.95893459
ANWC92,1983,15.98228582
ANWC92,1987,15.98347966
ANWC110,1985,15.98822761
SAM31,2005,15.99061508
SAM25,1986,15.9909482
SAM26,1986,15.9909482
SAM27,1986,15.9909482
SAM32,1986,15.9909482
ANWC110,1995,16.01804566
SAM31,1986,16.02459987
SAM29,2001,16.02629391
SAM30,2001,16.02629391
ANWC110,1996,16.03269792
ANWC92,1989,16.07717538
ANWC92,1993,16.07928578
SAM29,1992,16.08747395
SAM30,1992,16.08747395
SAM29,1986,16.09171279
SAM30,1986,16.09171279
SAM29,1995,16.12676318
SAM30,1995,16.12676318
SAM25,1992,16.12795997
SAM26,1992,16.12795997
SAM27,1992,16.12795997
SAM32,1992,16.12795997
ANWC92,1991,16.13269536
SAM29,1997,16.15609574
SAM30,1997,16.15609574
SAM31,1992,16.15698362
SAM25,1995,16.1688296
SAM26,1995,16.1688296
SAM27,1995,16.1688296
SAM32,1995,16.1688296
ANWC92,1982,16.19310323
SAM31,1995,16.21452506
ANWC110,1983,16.21699552
ANWC90,1986,16.22256207
ANWC92,1981,16.22536341
ANWC92,1975,16.23424959
ANWC104,1996,16.23739688
SAM25,2003,16.25901087
SAM26,2003,16.25901087
SAM27,2003,16.25901087
SAM32,2003,16.25901087
SAM25,1985,16.27821382
SAM26,1985,16.27821382
