	WAM57	WAM56	SAM46	SAM8	SAM44	SAM41	SAM36	SAM30	SAM29	SAM28	SAM27	SAM26	SAM25	SAM18	SAM17	SAM33	SAM16	SAM14	SAM12	SAM11	WAM58	SAM15	ANWC135	ANWC129	ANWC131	ANWC130	SAM35	ANWC118	ANWC94	ANWC133	ANWC136	SAM31	ANWC79	ANWC132	ANWC103	ANWC105	SAM32	ANWC100	SAM39	ANWC102	ANWC104	ANWC168	ANWC117	ANWC101	ANWC75	ANWC106	ANWC108	ANWC107	ANWC126	SAM45	ANWC110	ANWC115	ANWC66	ANWC116	ANWC139	SAM19	ANWC128	ANWC109	ANWC77	SAM34	SAM37	ANWC71	ANWC170	ANWC72	ANWC73	ANWC134	ANWC81	ANWC78	SAM38	ANWC80
WAM57	1.085993528	0.060369183	-0.072422835	0.002345275	-0.074660793	-0.026505988	0.031168044	-0.083865678	-0.07186117	-0.073821013	-0.070817731	-0.079489841	-0.084341633	5.35E-03	0.005468026	0.03199794	3.43E-03	9.60E-04	2.16E-03	0.002745961	0.070183952	-0.001377686	0.03188235	0.042676095	4.24E-02	0.049215667	0.037627011	-0.045664618	-0.045009541	0.047761808	4.68E-02	-0.084656758	-0.046041767	0.04202663	-0.03319538	-0.045955616	-0.076809995	-0.036696099	0.037488083	-0.030269472	0.018411339	-2.82E-02	-0.045349859	-0.029988418	0.00930316	-0.061405674	-0.039239878	-0.058375361	0.035943714	-7.21E-02	-0.051754923	-0.04759585	-0.005826259	-0.047974011	0.00409505	-0.076803088	0.03650656	-0.047734015	3.89E-02	0.042951481	0.042436047	0.053126452	-0.021231599	0.017885176	0.017692889	0.041018305	0.065518006	-0.05977695	0.033178205	0.055203207
WAM56	0.060369183	1.098515868	-0.069163857	-0.005905053	-0.067876517	-0.031877959	0.017348886	-0.080903603	-0.068838925	-0.06890668	-0.069955756	-0.074225756	-0.077570465	-4.58E-03	-0.002868367	0.016757204	-5.59E-03	-7.40E-03	-4.40E-03	-0.004693539	0.0656736	-0.009778367	0.01945699	0.031830046	3.44E-02	0.035461558	0.028869179	-0.046702114	-0.045525169	0.033965582	3.67E-02	-0.076305686	-0.047603727	0.033704077	-0.03718573	-0.048587517	-0.073814332	-0.040503542	0.029444327	-0.034978795	0.010914881	-3.10E-02	-0.047650715	-0.034115995	0.000582886	-0.060487366	-0.042834056	-0.056527959	0.023180129	-6.80E-02	-0.052740016	-0.049639102	-0.012271143	-0.050597749	-0.005842271	-0.073023632	0.023418914	-0.048475476	2.91E-02	0.034852834	0.030189181	0.046016302	-0.025202262	0.008658544	0.008819639	0.029791951	0.060935511	-0.05766146	0.020767415	0.048151454
SAM46	-0.072422835	-0.069163857	1.123356938	-0.022881787	0.066359303	0.011472867	-0.055148504	0.081572014	0.06259148	0.070775959	0.071719693	0.072408852	0.109715569	-3.01E-02	-0.026151631	-0.057670981	-2.54E-02	-2.45E-02	-2.16E-02	-0.02289881	-0.079817214	-0.025140925	-0.054330763	-0.061654004	-6.09E-02	-0.071198234	-0.055680295	0.029347277	0.0297565	-0.068742125	-6.75E-02	0.06866225	0.031646934	-0.060291573	0.013741364	0.032095541	0.070149545	0.019033428	-0.054354129	0.010515349	-0.036647287	5.43E-03	0.028847759	0.009709206	-0.030983211	0.040119776	0.020345882	0.031912069	-0.057062716	6.91E-02	0.03769164	0.02084	-0.013306592	0.020896675	-0.030919932	0.066314765	-0.061290878	0.028061142	-5.75E-02	-0.061224301	-0.059800104	-0.068842826	-0.001043891	-0.041097154	-0.039522449	-0.061280563	-0.079333759	0.035322691	-0.058054839	-0.06733419
SAM8	0.002345275	-0.005905053	-0.022881786	1.0582304	-0.028130782	-0.010073107	-0.003957979	-0.02691503	-0.024155616	-0.024684853	-0.022280834	-0.026789104	-0.030274513	1.33E-03	-0.001369742	-0.004446846	1.00E-03	3.90E-03	8.65E-04	0.000241158	-0.00014218	-0.001050201	-0.001621963	-0.001405284	-1.89E-04	-0.002557474	0.000722681	-0.017667118	-0.01546365	-0.002274144	-9.27E-04	-0.031376112	-0.015816871	-0.002268764	-0.012101579	-0.01540964	-0.024800686	-0.013338518	0.00075974	-0.012195328	-0.002504759	-1.47E-02	-0.017205315	-0.010474092	0.000332979	-0.022767757	-0.015228765	-0.022353239	-0.004690022	-2.33E-02	-0.018426413	-0.019317785	-0.005844357	-0.019057986	-0.004484155	-0.026493926	-0.002439911	-0.016783721	-1.80E-03	0.000949495	-0.000998262	-0.005870963	-0.01226489	-0.000655753	-0.002215517	-0.003295502	-0.006926285	-0.022093554	-0.004954579	-0.001779509
SAM44	-0.074660793	-0.067876517	0.066359303	-0.028130782	1.144509554	0.008127407	-0.055470762	0.071926188	0.060313415	0.062122114	0.065309295	0.088504004	0.092833872	-3.41E-02	-0.031395503	-0.057121761	-3.06E-02	-2.79E-02	-2.56E-02	-0.02641415	-0.080381361	-0.02848998	-0.055076767	-0.062910112	-6.33E-02	-0.071968277	-0.058836346	0.021375242	0.024951076	-0.070063124	-6.72E-02	0.068209605	0.022866978	-0.062272277	0.007058648	0.024456345	0.078478522	0.009257562	-0.057806921	0.002702881	-0.038667896	-2.95E-03	0.021039834	0.002615864	-0.035878136	0.029243442	0.011767406	0.017022665	-0.059185698	7.49E-02	0.030867165	0.005835318	-0.017128384	0.010044084	-0.03501627	0.057679232	-0.061798643	0.022250276	-5.92E-02	-0.064022696	-0.061779277	-0.066774043	-0.007549936	-0.043792824	-0.042838822	-0.061912064	-0.077368929	0.02135148	-0.056075137	-0.067578436
SAM41	-0.026505988	-0.031877959	0.011472867	-0.010073107	0.008127407	1.068535328	-0.024792265	0.015152103	0.008987023	0.010334442	0.013952637	0.01310582	0.008202393	-1.22E-02	-0.010947625	-0.025958226	-1.05E-02	-1.06E-02	-8.03E-03	-0.010289036	-0.031138004	-0.010116388	-0.024277877	-0.024388421	-2.42E-02	-0.028548429	-0.021361694	0.003888272	0.008992815	-0.028598741	-2.70E-02	0.00947884	0.005141802	-0.024588175	0.003307877	0.005804936	0.012496964	0.003214215	-0.019895443	0.001316588	-0.013810896	-5.81E-03	0.002959223	0.000575469	-0.012662452	0.004398534	0.002539634	0.001472903	-0.025813663	1.04E-02	0.005701985	-0.000149258	-0.007820726	-0.000148766	-0.014873945	0.012284951	-0.025818541	0.0046913	-2.43E-02	-0.022833048	-0.024436279	-0.030858252	-0.007615486	-0.018281775	-0.017143772	-0.02773412	-0.033975226	0.002862943	-0.02535949	-0.027990193
SAM36	0.031168044	0.017348886	-0.055148504	-0.003957979	-0.055470762	-0.024792265	1.165198565	-0.063159042	-0.054904406	-0.054848109	-0.056056074	-0.059783504	-0.064132223	-1.50E-03	-0.00221222	0.010299725	-4.03E-03	-4.79E-03	-2.88E-03	-0.000868723	0.032812775	-0.005302039	0.009797281	0.01987482	2.07E-02	0.021046848	0.023859849	-0.038883933	-0.036543898	0.019161815	2.14E-02	-0.063798599	-0.037384469	0.018365221	-0.02764239	-0.03709049	-0.058266963	-0.030176383	0.035300983	-0.027214323	0.00965468	-2.98E-02	-0.03877756	-0.025739017	0.000850854	-0.047688392	-0.034214667	-0.046566012	0.01202813	-5.48E-02	-0.041461646	-0.041645629	-0.011113467	-0.039923531	-0.006473399	-0.059476908	0.01133755	-0.037237135	1.54E-02	0.023765339	0.023493205	0.015923117	-0.022765293	0.006501394	0.005364909	0.014287091	0.024685063	-0.048369099	0.00998842	0.023373414
SAM30	-0.083865678	-0.080903603	0.081572014	-0.02691503	0.071926188	0.015152103	-0.063159042	1.252500176	0.075732777	0.082313295	0.078009784	0.122731529	0.097058573	-3.36E-02	-0.030173396	-0.067420224	-3.04E-02	-2.68E-02	-2.52E-02	-0.025574123	-0.091831372	-0.027706363	-0.064907077	-0.072774363	-7.16E-02	-0.082393219	-0.065044717	0.032984899	0.036952261	-0.081339635	-7.87E-02	0.099037161	0.03633596	-0.071927655	0.015565695	0.037673357	0.087064245	0.02164157	-0.062480331	0.013136892	-0.042916429	4.41E-03	0.031832504	0.009652909	-0.036240998	0.048192093	0.023114573	0.038621532	-0.06745044	8.94E-02	0.044186262	0.023352941	-0.015901437	0.025818859	-0.036495414	0.077756473	-0.071408891	0.033984507	-6.71E-02	-0.070236518	-0.06940327	-0.079826378	-0.000470359	-0.047091157	-0.047698396	-0.072534703	-0.091332446	0.043344351	-0.067358396	-0.079174997
SAM29	-0.07186117	-0.068838925	0.06259148	-0.024155616	0.060313415	0.008987023	-0.054904406	0.075732777	1.171097994	0.063399634	0.066892183	0.071107833	0.073301544	-2.98E-02	-0.027830551	-0.057496994	-2.74E-02	-2.54E-02	-2.22E-02	-0.02300308	-0.077889386	-0.025382545	-0.056305766	-0.060036075	-6.02E-02	-0.070894918	-0.055106464	0.023848434	0.029762867	-0.068315547	-6.72E-02	0.065641966	0.02814307	-0.06144037	0.009748593	0.02884712	0.088544986	0.016223937	-0.053704127	0.010134658	-0.036973672	9.12E-04	0.024824103	0.0071761	-0.031557066	0.036797417	0.01576849	0.026681716	-0.057082029	6.61E-02	0.034165703	0.015434465	-0.014826291	0.018291149	-0.032688984	0.063399556	-0.060151351	0.02625013	-5.71E-02	-0.059576268	-0.060173002	-0.067657867	-0.004147567	-0.04078012	-0.041042426	-0.062182419	-0.077784727	0.032151888	-0.057992742	-0.068021494
SAM28	-0.073821013	-0.06890668	0.070775959	-0.024684853	0.062122114	0.010334443	-0.054848109	0.082313295	0.063399634	1.137507677	0.07741614	0.078807926	0.076275104	-3.20E-02	-0.028446892	-0.057665129	-2.89E-02	-2.70E-02	-2.45E-02	-0.024849975	-0.080698568	-0.025605289	-0.057002707	-0.062815923	-6.15E-02	-0.073371746	-0.057992798	0.024511145	0.027715599	-0.069974931	-6.93E-02	0.080360994	0.02921309	-0.062058346	0.009836983	0.028771808	0.076819145	0.015822546	-0.056181689	0.006489567	-0.038870469	1.07E-03	0.024779181	0.005686012	-0.033895009	0.035835662	0.016054264	0.025850055	-0.05984843	7.22E-02	0.035096869	0.013674342	-0.015929866	0.015092566	-0.034006465	0.060127463	-0.061333334	0.026577179	-6.02E-02	-0.062383786	-0.061398041	-0.068928698	-0.003163142	-0.04190638	-0.043247008	-0.062255162	-0.078002743	0.028213125	-0.058497354	-0.068055146
