	WAM63	WAM60	WAM57	WAM56	SAM46	SAM8	SAM44	SAM41	SAM36	WAM64	SAM30	SAM29	SAM28	SAM27	SAM26	SAM25	SAM18	SAM17	SAM33	SAM16	SAM14	SAM12	SAM11	WAM58	SAM15	ANWC135	ANWC140	ANWC129	ANWC131	ANWC130	ANWC152	SAM35	ANWC159	ANWC118	ANWC119	ANWC94	ANWC133	ANWC136	SAM31	ANWC156	ANWC79	ANWC132	ANWC103	ANWC105	SAM32	ANWC100	SAM39	ANWC102	ANWC138	ANWC104	ANWC168	ANWC117	ANWC101	ANWC69	ANWC75	ANWC154	ANWC106	ANWC108	ANWC112	ANWC107	ANWC126	SAM45	ANWC110	ANWC115	ANWC137	ANWC66	ANWC116	ANWC139	SAM19	ANWC141	ANWC128	ANWC142	ANWC147	ANWC109	ANWC77	ANWC162	ANWC146	SAM34	ANWC148	ANWC150	ANWC145	ANWC151	ANWC113	ANWC153	ANWC155	SAM37	ANWC71	ANWC157	ANWC158	ANWC143	ANWC160	ANWC161	ANWC170	ANWC68	ANWC72	ANWC73	ANWC134	ANWC67	ANWC81	ANWC163	WAM59	ANWC78	SAM38	ANWC144	ANWC80
WAM63	1.077804327	0.027565271	0.03324459	0.03505598	-0.061356739	-0.012231507	-0.060323721	-3.20E-02	0.007786771	0.312247745	-0.07015938	-0.059802196	-0.061241544	-0.061659937	-0.064672539	-0.067561282	-9.01E-03	-0.009699782	8.91E-03	-0.011229885	-1.23E-02	-0.011439829	-0.011579598	0.042220406	-0.013710558	8.31E-03	-0.004834422	1.91E-02	0.019634606	1.85E-02	0.001013472	0.01315412	0.0039906	-0.043076459	6.37E-04	-4.39E-02	1.80E-02	0.021675128	-0.067591763	0.008068094	-0.045438581	1.79E-02	-3.67E-02	-0.043865041	-0.064977706	-0.039415178	0.012542198	-0.034106382	-0.005977475	7.22E-04	-0.030659549	-0.044405706	-0.033316362	-1.89E-02	-0.006365258	0.003293485	-0.054341735	-0.039988607	7.81E-04	-0.051516659	0.012705909	-0.059444908	-0.049203157	-4.58E-02	-4.77E-03	-2.50E-02	-0.044571122	-0.010812789	-0.063934355	-5.42E-03	1.24E-02	0.001125329	9.22E-03	-0.045957307	0.017332981	-3.87E-03	0.010936321	0.016464481	0.003182657	0.006043431	0.01492415	4.36E-03	-0.001546968	0.005806953	0.005731609	0.014483416	4.47E-02	9.20E-03	0.003841013	2.79E-04	0.000631717	1.38E-03	-0.026703131	-2.00E-02	4.60E-04	3.48E-04	0.017287849	-0.026225028	0.041342573	-0.003865635	0.025957605	-0.052367873	1.18E-02	-0.004551066	0.031765085
WAM60	0.027565271	1.111599684	0.030618044	0.019631672	-0.082420127	-0.014323294	-0.079990258	-4.27E-02	0.002253161	0.018775194	-0.093172559	-0.080848821	-0.080603711	-0.082408997	-0.087927286	-0.090152301	-1.27E-02	-0.012677987	1.80E-03	-0.015599197	-1.61E-02	-0.015157362	-0.014641093	0.03282648	-0.01708034	4.46E-03	0.012243262	1.31E-02	0.016033864	1.65E-02	0.012498531	0.012573313	0.035734213	-0.056669293	1.31E-02	-5.68E-02	1.62E-02	0.015761398	-0.089018569	0.022049885	-0.059141798	1.37E-02	-4.79E-02	-0.058169845	-0.085971154	-0.051212998	0.012223811	-0.046611353	0.005393246	-3.41E-03	-0.034786202	-0.056464442	-0.044673131	-2.14E-02	-0.010491072	0.032187351	-0.072728169	-0.052866069	1.19E-02	-0.068443658	0.00544867	-0.08001437	-0.063241481	-5.85E-02	7.87E-03	-2.66E-02	-0.058485965	-0.00398883	-0.085877884	9.44E-03	8.60E-03	0.017656362	5.12E-02	-0.059407929	0.01091537	8.49E-03	0.093709513	0.01540029	0.039173971	0.042520569	0.091217339	4.73E-02	0.010615103	0.025830807	0.028640033	0.013780791	1.74E-02	3.35E-02	0.033173206	1.42E-02	0.01305054	1.74E-02	-0.027496457	-2.23E-02	-4.77E-03	-2.30E-03	0.010090189	-0.027599482	0.024196732	0.021039846	0.334566142	-0.068161834	6.82E-03	0.00843528	0.020677913
WAM57	0.03324459	0.030618044	1.058933377	0.036752657	-0.052246755	-0.006596342	-0.05402656	-2.46E-02	0.011222507	0.032692921	-0.057909607	-0.051811254	-0.05306385	-0.050683524	-0.056073823	-0.058838927	-5.03E-03	-0.005118751	1.41E-02	-0.006006929	-7.74E-03	-0.007394799	-0.007229138	0.037686231	-0.009171211	1.35E-02	0.000456037	1.96E-02	0.018059925	1.93E-02	0.005219136	0.014220539	0.008446912	-0.036089062	5.90E-03	-3.60E-02	2.07E-02	0.019663383	-0.059394912	0.010236245	-0.037062701	1.95E-02	-2.92E-02	-0.036210609	-0.05422887	-0.030957619	0.013188011	-0.026838367	-0.000506716	3.36E-03	-0.024518578	-0.036099221	-0.027300445	-1.34E-02	-0.002514995	0.006622816	-0.045950315	-0.032424117	5.12E-03	-0.044145781	0.016469777	-0.052410679	-0.039532311	-3.78E-02	1.33E-03	-1.72E-02	-0.038171513	-0.004775615	-0.054683064	1.42E-03	1.56E-02	0.005653312	1.46E-02	-0.038173144	0.017289627	6.21E-04	0.017475092	0.017186327	0.011066622	0.010139574	0.018828633	1.05E-02	0.003942813	0.008974562	0.009132171	0.017765365	3.06E-02	1.34E-02	0.008191038	4.51E-03	0.003941632	5.09E-03	-0.020190695	-1.40E-02	2.77E-03	3.20E-03	0.019603364	-0.019021894	0.036454401	0.002961474	0.029290227	-0.044754183	1.35E-02	0.000814734	0.029856193
WAM56	0.03505598	0.019631672	0.036752657	1.082544684	-0.050499059	-0.011471126	-0.049717136	-2.83E-02	0.007367478	0.036677248	-0.057546754	-0.050471398	-0.050425652	-0.051145728	-0.053211399	-0.055496722	-1.05E-02	-0.009277485	1.02E-02	-0.01089115	-1.19E-02	-0.010611688	-0.010851408	0.043347473	-0.013655925	1.08E-02	-0.007526514	1.83E-02	0.017822503	1.66E-02	0.000223399	0.012304271	0.001582352	-0.036713784	-2.54E-03	-3.58E-02	1.80E-02	0.019562391	-0.054846753	0.002624513	-0.037939835	2.01E-02	-3.12E-02	-0.038513029	-0.053351296	-0.033446802	0.010947169	-0.029587008	-0.008682189	9.16E-04	-0.026076625	-0.037709676	-0.029371194	-1.91E-02	-0.006372797	-0.001371522	-0.045816102	-0.034891234	-2.07E-03	-0.042794727	0.014594533	-0.050204498	-0.040790172	-3.94E-02	-8.73E-03	-2.28E-02	-0.040217417	-0.012496115	-0.053156618	-8.43E-03	1.29E-02	-0.002303704	1.58E-03	-0.038169531	0.01588085	-4.25E-03	0.005614661	0.016370941	-0.00088416	0.00098657	0.007964973	-9.20E-04	-0.004109145	0.001915598	0.001402527	0.013175957	3.59E-02	3.17E-03	-0.001970954	-1.86E-03	-0.002686021	-1.58E-03	-0.02287514	-1.93E-02	4.10E-04	3.23E-04	0.018861372	-0.024664966	0.047417559	-0.009264069	0.017605545	-0.043564066	1.18E-02	-0.007793362	0.032882711
SAM46	-0.061356739	-0.082420127	-0.052246755	-0.050499059	1.147447705	-0.005260728	0.094550502	3.46E-02	-0.033442214	-0.057761567	0.108921463	0.089928361	0.098204716	0.098483999	0.100148111	0.137450105	-1.25E-02	-0.007379567	-3.88E-02	-0.007396968	-6.31E-03	-0.002713214	-0.003617045	-0.057764462	-0.007870966	-3.62E-02	-0.035546125	-4.23E-02	-0.041322401	-4.55E-02	-0.034797512	-0.035491354	-0.04318159	0.053554482	-3.65E-02	5.47E-02	-4.61E-02	-0.045326427	0.096649777	-0.046673276	0.057207476	-4.17E-02	3.73E-02	0.056248093	0.097130277	0.042903584	-0.033146298	0.034297494	-0.031166982	-1.74E-02	0.024819983	0.05354231	0.032766283	5.25E-03	-0.013001876	-0.042988955	0.067047644	0.044430885	-3.81E-02	0.05921791	-0.037536189	0.097203589	0.062724342	4.61E-02	-3.32E-02	4.83E-03	0.046249835	-0.021844234	0.094977199	-3.49E-02	-4.21E-02	-0.037392569	-6.16E-02	0.05359692	-0.039353429	-3.21E-02	-0.06236937	-0.040369537	-0.055967424	-0.048050667	-0.063699653	-4.74E-02	-0.033667394	-0.040793649	-0.048192375	-0.039071881	-5.12E-02	-5.00E-02	-0.04213985	-3.44E-02	-0.032721004	-3.59E-02	0.017590992	7.09E-03	-2.12E-02	-2.15E-02	-0.042751539	-0.002702834	-0.0564466	-0.038829387	-0.081894773	0.06210762	-3.77E-02	-0.033235773	-0.048473879
SAM8	-0.012231507	-0.014323294	-0.006596342	-0.011471126	-0.005260728	1.054875851	-0.009887942	-2.73E-03	-0.007346901	-0.013469087	-0.006037712	-0.006264596	-0.006356014	-0.00456625	-0.006980685	-0.009536878	8.35E-04	-0.001464145	-7.52E-03	0.000885783	4.35E-03	0.001403439	0.000548184	-0.009035903	-0.000249771	-5.37E-03	-0.008989048	-7.04E-03	-0.006673282	-9.21E-03	-0.004372949	-0.005195301	-0.007261338	-0.006165729	-5.35E-03	-3.80E-03	-8.51E-03	-0.00751073	-0.01061672	-0.007408808	-0.004029496	-7.89E-03	-3.38E-03	-0.003822815	-0.005888246	-0.003526964	-0.005104891	-0.003648048	-0.008143798	-4.67E-03	-0.007616914	-0.005602235	-0.002743956	-5.14E-03	-0.000465663	-0.007924938	-0.007236775	-0.004793425	-4.55E-03	-0.007355195	-0.008246717	-0.005454511	-0.005146156	-7.28E-03	-8.34E-03	-8.16E-03	-0.006748008	-0.007681672	-0.00699198	-8.31E-03	-6.97E-03	-0.007645258	-1.10E-02	-0.004711399	-0.007194974	-4.95E-03	-0.013757307	-0.005772584	-0.011415493	-0.00850707	-0.011565812	-9.27E-03	-0.006612503	-0.005749812	-0.007712523	-0.007068623	-1.16E-02	-7.74E-03	-0.006090406	-6.44E-03	-0.002661612	-5.21E-03	-0.006772396	-5.04E-03	-2.37E-03	-4.16E-03	-0.00823267	-0.009701602	-0.013392053	-0.007299664	-0.014721305	-0.006990358	-8.48E-03	-0.005529522	-0.008408989
SAM44	-0.060323721	-0.079990258	-0.05402656	-0.049717136	0.094550502	-0.009887942	1.171589851	3.23E-02	-0.033935779	-0.056765226	0.100823173	0.089364489	0.091504694	0.09345614	0.118491945	0.123047062	-1.59E-02	-0.011945731	-3.88E-02	-0.011936745	-9.01E-03	-0.005990906	-0.006627631	-0.058291382	-0.010067108	-3.73E-02	-0.036719441	-4.38E-02	-0.043439461	-4.73E-02	-0.035584712	-0.038258832	-0.043876824	0.046867259	-3.83E-02	5.11E-02	-4.82E-02	-0.045226019	0.099049186	-0.047589746	0.049554676	-4.34E-02	3.18E-02	0.049980534	0.107270558	0.034227462	-0.035801915	0.027528779	-0.03366784	-1.89E-02	0.017850899	0.047015837	0.026603217	-6.40E-04	-0.017243988	-0.041806695	0.057593535	0.036945769	-3.91E-02	0.045661656	-0.040024166	0.104668046	0.057114517	3.24E-02	-3.58E-02	-9.98E-04	0.036852534	-0.024950008	0.088051452	-3.69E-02	-4.29E-02	-0.038761248	-6.10E-02	0.048755965	-0.041002399	-3.51E-02	-0.062331035	-0.042948543	-0.055452138	-0.047692401	-0.062884336	-4.89E-02	-0.034810849	-0.04198301	-0.048769067	-0.040740383	-4.98E-02	-5.16E-02	-0.044224849	-3.68E-02	-0.035782036	-3.85E-02	0.012295989	2.13E-03	-2.40E-02	-2.46E-02	-0.043701467	-0.011156841	-0.055886882	-0.039093531	-0.078399546	0.049709473	-3.63E-02	-0.035723706	-0.04895002
SAM41	-0.031966275	-0.042676133	-0.024601965	-0.02826312	0.034591963	-0.002732589	0.032250946	1.08E+00	-0.018130056	-0.03099358	0.040706312	0.032395488	0.0339534	0.037010702	0.037915096	0.033758926	-5.22E-03	-0.003456954	-2.06E-02	-0.002955438	-2.91E-03	-0.000101668	-0.002324014	-0.028685986	-0.002500938	-1.95E-02	-0.019731645	-2.06E-02	-0.020650464	-2.28E-02	-0.018304454	-0.017191223	-0.022921757	0.021618538	-1.76E-02	2.67E-02	-2.40E-02	-0.022670391	0.035140343	-0.024023564	0.02346783	-2.10E-02	1.89E-02	0.023699516	0.036652788	0.019334378	-0.015480395	0.016655521	-0.017108539	-7.55E-03	0.007003521	0.020966331	0.01530805	-9.45E-04	-0.006043086	-0.022452377	0.025951933	0.019390954	-1.89E-02	0.022759621	-0.020662943	0.033911819	0.02470623	1.83E-02	-1.77E-02	-1.01E-03	0.018209154	-0.012834168	0.037334556	-2.02E-02	-2.13E-02	-0.019588218	-3.28E-02	0.023322925	-0.020665505	-1.67E-02	-0.034360728	-0.019091659	-0.030052033	-0.025285085	-0.033687113	-2.73E-02	-0.017615786	-0.022026748	-0.025060568	-0.020224733	-2.78E-02	-2.52E-02	-0.022416728	-1.87E-02	-0.016351826	-1.86E-02	0.003571589	9.49E-05	-1.15E-02	-1.14E-02	-0.023715492	-0.004954475	-0.029410909	-0.021070681	-0.042874094	0.024072816	-1.98E-02	-0.018791587	-0.025211343
SAM36	0.007786771	0.002253161	0.011222507	0.007367478	-0.033442214	-0.007346901	-0.033935779	-1.81E-02	1.152509689	0.005578701	-0.036620781	-0.033341694	-0.033228076	-0.034092905	-0.035327603	-0.038816738	-5.31E-03	-0.006125054	4.63E-03	-0.007101767	-7.21E-03	-0.006068192	-0.004328998	0.013537264	-0.0072246	2.30E-03	-0.008541767	7.83E-03	0.006528572	5.02E-03	-0.001758862	0.010223039	-0.00407056	-0.025944905	-3.74E-03	-2.39E-02	5.21E-03	0.006718621	-0.038633544	-0.000794197	-0.024760113	6.76E-03	-1.90E-02	-0.024210087	-0.034535561	-0.020321125	0.019957265	-0.018979103	-0.010230376	2.22E-03	-0.022570121	-0.026038202	-0.018377897	-1.30E-02	-0.003832018	-0.003756481	-0.029640192	-0.023560695	-2.58E-03	-0.029688492	0.004396709	-0.033672407	-0.026263167	-2.85E-02	-8.14E-03	-1.81E-02	-0.026488495	-0.011557379	-0.036220485	-9.42E-03	2.07E-03	-0.006014188	-3.52E-03	-0.024158632	0.004324244	-4.55E-03	-0.005348014	0.008251933	-0.005164929	-0.003027049	-0.002100762	-5.00E-03	-0.007194463	-0.002607193	-0.002805239	0.009273697	6.60E-03	-5.70E-04	-0.001832486	-4.16E-03	-0.002386896	-3.33E-03	-0.017768284	-1.46E-02	2.78E-04	-1.15E-03	0.004526319	-0.020639033	0.01199983	-0.007236084	0.0006715	-0.031188642	1.93E-03	-0.008429411	0.010004386
WAM64	0.312247745	0.018775194	0.032692921	0.036677248	-0.057761567	-0.013469087	-0.056765226	-3.10E-02	0.005578701	1.081134677	-0.065483926	-0.055776833	-0.057663761	-0.058799939	-0.061085105	-0.060588721	-1.12E-02	-0.011592823	6.52E-03	-0.01518325	-1.40E-02	-0.013231629	-0.013192442	0.041040506	-0.016019802	7.58E-03	-0.011369814	1.65E-02	0.016721242	1.61E-02	-0.004129936	0.01079326	-0.001272288	-0.041489772	-2.93E-03	-4.32E-02	1.68E-02	0.01812377	-0.060799229	0.001224547	-0.043635495	1.62E-02	-3.56E-02	-0.041972016	-0.060619168	-0.03854963	0.011819322	-0.034364416	-0.010292074	-1.73E-03	-0.029357949	-0.042289127	-0.033029485	-2.11E-02	-0.007838699	-0.003528918	-0.05108809	-0.04065744	-4.50E-03	-0.048140476	0.009992442	-0.055577598	-0.046194965	-4.37E-02	-9.66E-03	-2.65E-02	-0.042956526	-0.016600047	-0.060124289	-9.63E-03	1.10E-02	-0.003751711	-3.53E-04	-0.04347687	0.012904337	-8.06E-03	0.003106626	0.013889645	-0.004231917	-0.00058181	0.007356932	-2.16E-03	-0.007114816	0.000403864	-0.000848615	0.013989645	5.04E-02	1.51E-03	-0.002928151	-2.70E-03	-0.003014782	-3.51E-03	-0.025922111	-2.21E-02	-1.34E-03	-3.15E-03	0.018003821	-0.029026504	0.039936918	-0.010296337	0.01769013	-0.047780085	8.74E-03	-0.010648178	0.033008662
