	WAM63	WAM60	WAM57	WAM56	SAM46	SAM8	SAM44	SAM41	SAM36	WAM64	SAM30	SAM29	SAM28	SAM27	SAM26	SAM25	SAM18	SAM17	SAM33	SAM16	SAM14	SAM12	SAM11	WAM58	SAM15	ANWC135	ANWC140	ANWC129	ANWC131	ANWC130	ANWC152	SAM35	ANWC159	ANWC118	ANWC119	ANWC94	ANWC133	ANWC136	SAM31	ANWC156	ANWC79	ANWC132	ANWC103	ANWC105	SAM32	ANWC100	SAM39	ANWC102	ANWC138	ANWC104	ANWC168	ANWC117	ANWC101	ANWC69	ANWC75	ANWC154	ANWC106	ANWC108	ANWC112	ANWC107	ANWC126	SAM45	ANWC110	ANWC115	ANWC137	ANWC66	ANWC116	ANWC139	SAM19	ANWC141	ANWC128	ANWC142	ANWC147	ANWC109	ANWC77	ANWC162	ANWC146	SAM34	ANWC148	ANWC150	ANWC145	ANWC151	ANWC113	ANWC153	ANWC155	SAM37	ANWC71	ANWC157	ANWC158	ANWC143	ANWC160	ANWC161	ANWC170	ANWC68	ANWC72	ANWC73	ANWC134	ANWC67	ANWC81	ANWC163	WAM59	ANWC78	SAM38	ANWC144	ANWC80
WAM63	1.079170823	0.028602055	3.55E-02	0.036835568	-0.061255275	-1.15E-02	-0.060014618	-3.20E-02	0.009092373	3.14E-01	-0.069713763	-0.059653216	-0.061000665	-0.061667941	-0.06434598	-0.066796028	-0.008329803	-0.008997295	0.010291991	-0.010412058	-0.011517723	-0.010704931	-1.09E-02	0.044497029	-1.30E-02	9.69E-03	-3.86E-03	2.07E-02	0.021246198	0.020259206	2.22E-03	0.01469357	4.96E-03	-0.043160542	0.001623204	-4.51E-02	0.019832994	0.023506541	-0.066823311	9.09E-03	-0.045578245	0.019505427	-3.66E-02	-0.044091273	-0.064814209	-0.039266515	1.41E-02	-0.033963983	-5.30E-03	0.001643027	-3.05E-02	-0.04457998	-0.03307479	-1.96E-02	-5.48E-03	0.004357873	-0.054042101	-0.040004857	1.96E-03	-0.051104238	0.014316434	-0.059311969	-0.049492908	-0.045375248	-4.09E-03	-2.52E-02	-0.044268299	-0.010253775	-0.063964863	-0.004406946	0.013969126	2.02E-03	0.010147824	-4.61E-02	0.01898358	-2.91E-03	0.012268058	1.83E-02	0.004345487	7.12E-03	1.60E-02	5.46E-03	-0.000496877	6.97E-03	0.006758337	0.016080563	4.62E-02	0.010329418	4.88E-03	0.001102072	0.001564269	0.002305929	-2.64E-02	-2.04E-02	0.001643594	0.001463002	0.018894007	-0.026280376	4.31E-02	-0.002773717	0.027202032	-0.052276018	1.33E-02	-0.003537223	0.033741774
WAM60	0.028602055	1.107860804	3.20E-02	0.021156147	-0.078597932	-1.31E-02	-0.076481779	-4.09E-02	0.003620545	2.01E-02	-0.088250873	-0.077125901	-0.076985905	-0.078782309	-0.083628857	-0.085595682	-0.011699341	-0.011575403	0.003265411	-0.014346062	-0.014745904	-0.013818246	-1.33E-02	0.034368497	-1.59E-02	5.87E-03	1.29E-02	1.44E-02	0.017259594	0.01777151	1.32E-02	0.013580913	3.58E-02	-0.054216126	0.013820698	-5.58E-02	0.017526769	0.017052032	-0.084620838	2.20E-02	-0.056705465	0.014936242	-4.59E-02	-0.055809914	-0.081688061	-0.049164584	1.33E-02	-0.044684667	5.54E-03	-0.002424781	-3.33E-02	-0.054141099	-0.04277597	-2.14E-02	-9.16E-03	0.032232873	-0.069022006	-0.050692263	1.26E-02	-0.065191671	0.006988594	-0.076546084	-0.060820873	-0.055872781	7.82E-03	-2.59E-02	-0.055872995	-0.003253377	-0.082206917	0.010248227	0.009870645	1.79E-02	0.050168301	-5.72E-02	0.012194969	9.27E-03	0.093068347	1.66E-02	0.038745025	4.24E-02	9.01E-02	4.71E-02	0.011164504	2.60E-02	0.028650826	0.014963088	1.87E-02	0.033240151	3.33E-02	0.014583508	0.013490394	0.01777387	-2.58E-02	-2.20E-02	-0.003469305	-0.0011972	0.011515353	-0.02677158	2.55E-02	0.021642379	0.331479161	-0.065240866	8.17E-03	0.009296801	0.022149371
WAM57	0.035512702	0.032028354	1.06E+00	0.038828075	-0.052986391	-6.16E-03	-0.054506736	-2.51E-02	0.012424878	3.48E-02	-0.058382822	-0.05250605	-0.053700953	-0.051564814	-0.05654755	-0.059012465	-0.004546926	-0.004734067	0.015493489	-0.00547567	-0.007266339	-0.006896331	-6.73E-03	0.040039566	-8.79E-03	1.49E-02	1.41E-03	2.12E-02	0.019756802	0.021085655	6.29E-03	0.015699147	9.40E-03	-0.036679942	0.006895053	-3.77E-02	0.022462199	0.021584503	-0.059536271	1.13E-02	-0.037761548	0.021173693	-2.97E-02	-0.037034885	-0.054850302	-0.031478591	1.46E-02	-0.02718592	2.25E-05	0.004048939	-2.48E-02	-0.036843316	-0.0276233	-1.43E-02	-1.85E-03	0.007584025	-0.04631738	-0.032798187	6.21E-03	-0.044473235	0.018008765	-0.053007001	-0.040425281	-0.038044448	1.95E-03	-1.78E-02	-0.038465113	-0.004314641	-0.055676384	0.002268545	0.017140887	6.46E-03	0.015566956	-3.89E-02	0.01878832	1.42E-03	0.018730171	1.88E-02	0.012059686	1.11E-02	2.01E-02	1.15E-02	0.004809729	1.01E-02	0.010226741	0.019355833	3.24E-02	0.014469937	9.23E-03	0.005361598	0.004744813	0.005885961	-2.03E-02	-1.48E-02	0.00385131	0.004004308	0.021170296	-0.019403617	3.86E-02	0.003871701	0.03065724	-0.045467298	1.51E-02	0.001596477	0.031878477
WAM56	0.036835568	0.021156147	3.88E-02	1.083346605	-0.05065007	-1.10E-02	-0.049777561	-2.86E-02	0.008517188	3.80E-02	-0.057685184	-0.050679785	-0.05063925	-0.051730537	-0.053300084	-0.055352654	-0.009763927	-0.008806006	0.011227761	-0.01029092	-0.011309166	-0.010005299	-1.03E-02	0.045123152	-1.31E-02	1.20E-02	-6.50E-03	1.96E-02	0.019268756	0.018150566	1.30E-03	0.013519253	2.75E-03	-0.036916631	-0.001527526	-3.70E-02	0.019405532	0.020964519	-0.05464423	3.87E-03	-0.038334404	0.021401603	-3.13E-02	-0.039021848	-0.05351622	-0.033668825	1.23E-02	-0.029657175	-7.82E-03	0.001535566	-2.61E-02	-0.038163479	-0.029389372	-2.00E-02	-5.62E-03	-0.000195399	-0.045780383	-0.035102848	-9.45E-04	-0.042612925	0.015670562	-0.050380117	-0.041293169	-0.039207768	-7.88E-03	-2.32E-02	-0.040132487	-0.011840216	-0.053594706	-0.007234448	0.014105122	-1.25E-03	0.002840993	-3.85E-02	0.017133911	-3.28E-03	0.007155191	1.78E-02	0.000423272	2.19E-03	9.29E-03	4.12E-04	-0.003219157	3.13E-03	0.002625004	0.014511289	3.69E-02	0.004258938	-7.40E-04	-0.000870743	-0.001657415	-0.000479423	-2.26E-02	-1.99E-02	0.001347924	0.001203956	0.020154221	-0.024850272	4.86E-02	-0.008125316	0.019144798	-0.043509055	1.30E-02	-0.006768201	0.034409462
SAM46	-0.061255275	-0.078597932	-5.30E-02	-0.05065007	1.143877149	-5.44E-03	0.091663273	3.33E-02	-0.033419173	-5.76E-02	0.103696566	0.086394165	0.094657534	0.094675214	0.095835174	0.132978276	-0.012440928	-0.007487305	-0.038684609	-0.007588909	-0.006577268	-0.00304834	-4.14E-03	-0.058766048	-7.74E-03	-3.63E-02	-3.43E-02	-4.25E-02	-0.041623565	-0.045603195	-3.40E-02	-0.03562821	-4.16E-02	0.051543665	-0.035505056	5.38E-02	-0.046074802	-0.045414983	0.092337222	-4.49E-02	0.055166755	-0.041780289	3.62E-02	0.054198286	0.092778154	0.041508949	-3.35E-02	0.033144049	-2.96E-02	-0.017541095	2.40E-02	0.051671057	0.031570155	5.52E-03	-1.31E-02	-0.041400725	0.063900598	0.042919523	-3.72E-02	0.056518392	-0.037622769	0.093949914	0.060648778	0.044284175	-3.16E-02	4.95E-03	0.044309101	-0.021167508	0.091197539	-0.033633648	-0.041890253	-3.61E-02	-0.058419464	5.19E-02	-0.039544115	-3.12E-02	-0.059934234	-4.06E-02	-0.053178544	-4.60E-02	-6.10E-02	-4.55E-02	-0.032548342	-3.95E-02	-0.046352703	-0.039189633	-5.13E-02	-0.048251754	-4.07E-02	-0.033307396	-0.03160419	-0.034761953	1.69E-02	7.12E-03	-0.02136534	-0.021477873	-0.042680729	-0.00245845	-5.71E-02	-0.037460891	-0.078204561	0.059986277	-3.77E-02	-0.032093216	-0.048969824
SAM8	-0.011511318	-0.013111047	-6.16E-03	-0.010957275	-0.005439975	1.05E+00	-0.009925768	-2.76E-03	-0.00670069	-1.26E-02	-0.006323723	-0.006377341	-0.006404404	-0.004784283	-0.00706103	-0.009454903	0.001255331	-0.001104849	-0.006859876	0.001315205	0.004708439	0.001807905	8.30E-04	-0.008587447	1.14E-04	-4.73E-03	-8.19E-03	-6.46E-03	-0.006059747	-0.008670732	-3.63E-03	-0.004734912	-6.46E-03	-0.006158583	-0.004535893	-4.08E-03	-0.0079474	-0.006906794	-0.010508992	-6.54E-03	-0.004069139	-0.00727705	-3.18E-03	-0.003929863	-0.006055861	-0.003544787	-4.63E-03	-0.003433016	-7.42E-03	-0.004374741	-7.31E-03	-0.005557034	-0.002615083	-5.21E-03	2.08E-05	-0.007016102	-0.007269545	-0.004666602	-3.84E-03	-0.00718195	-0.007639378	-0.005444085	-0.005173101	-0.007078295	-7.63E-03	-7.91E-03	-0.006614761	-0.007055191	-0.007137716	-0.007634136	-0.006330556	-6.87E-03	-0.00985196	-4.68E-03	-0.00667141	-4.18E-03	-0.012612355	-5.22E-03	-0.010275849	-7.60E-03	-1.05E-02	-8.36E-03	-0.005961426	-4.93E-03	-0.006790984	-0.006488394	-1.10E-02	-0.006965187	-5.32E-03	-0.005690347	-0.002078804	-0.004498039	-6.46E-03	-5.05E-03	-0.00190413	-0.003679495	-0.007633765	-0.009605262	-1.28E-02	-0.006485748	-0.013508391	-0.006799484	-7.92E-03	-0.004708125	-0.007880012
SAM44	-0.060014618	-0.076481779	-5.45E-02	-0.049777561	0.091663273	-9.93E-03	1.170228958	3.13E-02	-0.033734426	-5.63E-02	0.096756807	0.08668526	0.089248246	0.090390173	0.115277688	0.120515207	-0.015517412	-0.011736043	-0.038309993	-0.011924685	-0.009134229	-0.006217498	-6.75E-03	-0.059065071	-1.00E-02	-3.67E-02	-3.55E-02	-4.36E-02	-0.043511161	-0.047100095	-3.46E-02	-0.038158155	-4.24E-02	0.045498097	-0.037218424	5.03E-02	-0.047777156	-0.045027321	0.096477763	-4.58E-02	0.048112225	-0.043237743	3.12E-02	0.048507973	0.103808655	0.033303666	-3.60E-02	0.026837923	-3.22E-02	-0.018878006	1.75E-02	0.045837876	0.025832948	-5.29E-04	-1.72E-02	-0.040344042	0.055410717	0.035966483	-3.81E-02	0.044401626	-0.03967379	0.102520228	0.055654427	0.031547019	-3.42E-02	-8.89E-04	0.03578491	-0.02419853	0.085366274	-0.035615532	-0.042474447	-3.74E-02	-0.058208516	4.75E-02	-0.040855912	-3.42E-02	-0.060158481	-4.30E-02	-0.053055566	-4.59E-02	-6.03E-02	-4.70E-02	-0.033655078	-4.06E-02	-0.046892172	-0.040618905	-4.96E-02	-0.049596249	-4.28E-02	-0.035574495	-0.034617684	-0.037300599	1.19E-02	2.06E-03	-0.023936164	-0.024526927	-0.043466883	-0.011073106	-5.60E-02	-0.037789717	-0.074987206	0.048770487	-3.60E-02	-0.0344814	-0.049099903
SAM41	-0.032004018	-0.040858408	-2.51E-02	-0.028644631	0.033260038	-2.76E-03	0.031336665	1.08E+00	-0.018210793	-3.10E-02	0.038858437	0.031221225	0.032933196	0.035775467	0.036495226	0.032366838	-0.005178996	-0.003456358	-0.020527866	-0.003084825	-0.003042188	-0.000170403	-2.38E-03	-0.029327393	-2.44E-03	-1.96E-02	-1.91E-02	-2.08E-02	-0.020960938	-0.023015138	-1.79E-02	-0.017389478	-2.21E-02	0.021028598	-0.017091433	2.65E-02	-0.023982964	-0.022780754	0.033960063	-2.32E-02	0.022771727	-0.021107369	1.86E-02	0.023061568	0.035207616	0.018853635	-1.57E-02	0.016391123	-1.63E-02	-0.007668123	6.74E-03	0.02036908	0.014966602	-8.94E-04	-6.02E-03	-0.021620965	0.024954917	0.018908592	-1.83E-02	0.021856189	-0.020704657	0.032926787	0.024069237	0.017798709	-1.69E-02	-9.25E-04	0.017636413	-0.012384769	0.036054301	-0.019562652	-0.021240601	-1.90E-02	-0.031294485	2.28E-02	-0.020814558	-1.62E-02	-0.033068968	-1.93E-02	-0.028738661	-2.43E-02	-3.24E-02	-2.63E-02	-0.01704521	-2.14E-02	-0.02408671	-0.020397943	-2.79E-02	-0.02439111	-2.17E-02	-0.018207082	-0.015803199	-0.018058225	3.34E-03	4.21E-05	-0.011572638	-0.011394312	-0.023808126	-0.004801747	-2.98E-02	-0.020479684	-0.041040869	0.023449826	-1.98E-02	-0.018231072	-0.025489397
SAM36	0.009092373	0.003620545	1.24E-02	0.008517188	-0.033419173	-6.70E-03	-0.033734426	-1.82E-02	1.152867556	6.88E-03	-0.03647815	-0.033297379	-0.033184428	-0.034380267	-0.035156919	-0.038440933	-0.004695457	-0.005668174	0.005661688	-0.006511808	-0.006599678	-0.005578979	-3.69E-03	0.014956831	-6.57E-03	3.41E-03	-7.52E-03	8.83E-03	0.007638208	0.006341213	-7.65E-04	0.011193587	-3.16E-03	-0.025974412	-0.002739861	-2.46E-02	0.006464028	0.007834227	-0.038217737	2.19E-04	-0.025006994	0.007810577	-1.88E-02	-0.024356258	-0.03459056	-0.020273541	2.09E-02	-0.0189129	-9.46E-03	0.002755068	-2.24E-02	-0.026128087	-0.018140896	-1.34E-02	-3.31E-03	-0.002760232	-0.029421975	-0.023472145	-1.59E-03	-0.029339878	0.00558885	-0.03355622	-0.026449256	-0.02808832	-7.33E-03	-1.81E-02	-0.026311313	-0.010833987	-0.03643498	-0.008436464	0.003014968	-5.19E-03	-0.002280247	-2.42E-02	0.005365706	-3.65E-03	-0.003989105	9.41E-03	-0.003734865	-1.93E-03	-9.25E-04	-3.95E-03	-0.006343444	-1.56E-03	-0.001643693	0.010428839	7.66E-03	0.000514438	-8.22E-04	-0.00316154	-0.001499383	-0.002480908	-1.74E-02	-1.50E-02	0.001040782	-0.000393097	0.0057381	-0.020514894	1.32E-02	-0.006143975	0.002003913	-0.031043745	3.00E-03	-0.00733042	0.011230069
WAM64	0.314326109	0.020110064	3.48E-02	0.038026398	-0.057574654	-1.26E-02	-0.056293711	-3.10E-02	0.006876771	1.08E+00	-0.065111632	-0.055592733	-0.057406127	-0.058841699	-0.060626791	-0.059852459	-0.010463743	-0.01091883	0.007852221	-0.014375007	-0.013197729	-0.012394305	-1.24E-02	0.043086556	-1.52E-02	8.90E-03	-1.01E-02	1.80E-02	0.018204021	0.017710962	-2.86E-03	0.012239435	-8.79E-05	-0.04146248	-0.001675397	-4.42E-02	0.018462117	0.019655829	-0.060007538	2.51E-03	-0.043730848	0.017795754	-3.54E-02	-0.042054532	-0.060429827	-0.038390489	1.33E-02	-0.033936886	-9.36E-03	-0.000787967	-2.91E-02	-0.042407331	-0.032717457	-2.18E-02	-6.98E-03	-0.002185331	-0.050616548	-0.040544383	-3.19E-03	-0.04750818	0.011374158	-0.055306609	-0.046414855	-0.043115497	-8.77E-03	-2.67E-02	-0.042531265	-0.015888166	-0.060057669	-0.008418739	0.012405815	-2.60E-03	0.00094089	-4.34E-02	0.014369888	-6.88E-03	0.00480716	1.56E-02	-0.00264469	7.18E-04	8.60E-03	-8.83E-04	-0.006003114	1.80E-03	0.000540175	0.015431359	5.16E-02	0.002709636	-1.74E-03	-0.001693097	-0.001879904	-0.002402613	-2.55E-02	-2.26E-02	-0.000135778	-0.001986965	0.019489755	-0.02895102	4.14E-02	-0.009057512	0.019141358	-0.047489384	9.95E-03	-0.009406439	0.034629871
