	A37114	A36182	A35583	A35582	A35183	ABTC114050	ABTC37891	ABTC114048	ABTC143564	ABTC119685	A37115	ABTC113311	ABTC113310	ABTC113234	ABTC113233	ABTC113232	ABTC113231	ABTC85134	ABTC85133	ABTC73792	ABTC73791	ABTC119496	ABTC38831	ABTC38801	ABTC37976	ABTC37966	A35745	B46574	B46525	B46415	ABTC38802	B54287	B54701	B54119	B54149	B54133	B55279	ABTC119649	B55371	B52751	B53877	B41644	B46630	B54257	B54288	ABTC113312	B55292	B33180	B54256	B48315	B49330	ABTC113313	B48221	ABTC119904	B48236	B54436	B48426	B55501	B52750	B48235	B29378	B32845	B55281	B49357	B49438	B50538	B49358	B54028	ABTC114049	B49626	B41656	B52745	B54435	B29336	B52746	B54458	ABTC84315	B54738	B54114	B54739	B55220	B49452	B32899	B55412	B55160	ABTC119512	B55221	B55255	B55126	B55256	B52435	B55280	B55291	ABTC119786	B32011	B55308	B55370	B54740	B55399	B55400	B55503	B29377.b	B32773	B32774	B54278	B29337.a	B33369	B55435	A36181	B33013	ABTC119851	B54778	B33205	
A37114	1.079168439	0.02958575	0.036129411	0.037444071	0.04256448	-0.060592015	-1.12E-02	-0.059196674	-0.031807726	9.84E-03	3.15E-01	-0.069009454	-0.058998507	-0.060289519	-0.061174216	-0.063630753	-0.065856899	-0.002711508	2.29E-03	-0.007890117	-0.008614433	1.11E-02	-0.010078104	-0.011103879	-0.010386573	-0.012344678	4.52E-02	-0.05337061	-0.050529062	0.032189746	-1.28E-02	0.01032633	-3.03E-03	0.021407478	2.20E-02	2.10E-02	0.002763465	1.52E-02	0.005715778	-0.042575719	0.002256243	-0.021406858	-0.044664482	0.020538078	0.024032008	-0.065914656	9.73E-03	-0.045117988	0.020095925	-3.63E-02	-0.043565183	-0.064093846	-0.039003179	0.01462022	-0.033694359	-4.44E-03	2.05E-03	-0.029731979	-0.043892319	-0.032693902	-0.018849827	-5.03E-03	5.17E-03	-0.053251339	-0.039489723	0.0025523	-0.050328438	0.015057194	-0.058695802	-0.048983558	-0.022376265	-0.044770946	-3.22E-03	-0.024328216	-0.043595338	-0.009333346	-0.063272664	-3.61E-03	1.46E-02	2.81E-03	0.011050258	-0.045574759	1.95E-02	-2.21E-03	0.013373389	0.018784888	5.20E-03	0.007769228	1.69E-02	6.15E-03	1.42E-04	7.59E-03	7.47E-03	0.016691645	4.71E-02	0.011108579	0.00561711	0.001855676	0.002130676	0.00302853	-0.025698771	-1.97E-02	0.002211983	2.08E-03	1.97E-02	-0.025161516	0.044088323	-0.002093218	0.028106616	-0.051555203	1.39E-02	-2.87E-03	0.03452411	
A36182	0.02958575	1.107124329	0.032587412	0.022299997	0.034811473	-0.077429502	-1.24E-02	-0.075076523	-0.040366364	4.57E-03	2.14E-02	-0.086863953	-0.075983292	-0.075726787	-0.077717373	-0.082270256	-0.0840434	-0.005995387	2.10E-03	-0.01093464	-0.010921669	4.29E-03	-0.01361492	-0.014175079	-0.013267531	-0.014462948	3.51E-02	-0.067037873	-0.063562467	0.028698397	-1.51E-02	0.006812233	1.41E-02	0.015227426	1.80E-02	1.86E-02	0.014028562	1.43E-02	0.036455574	-0.053197972	0.014693945	-0.023805701	-0.054873614	0.018345718	0.017751561	-0.08310288	2.28E-02	-0.055820226	0.015833161	-4.52E-02	-0.054885566	-0.080446026	-0.048409356	0.013997788	-0.043909343	6.58E-03	-1.80E-03	-0.031949083	-0.053131917	-0.04201852	-0.020347769	-8.47E-03	3.31E-02	-0.067722382	-0.049755891	0.013666457	-0.063861326	0.008031595	-0.075199416	-0.059810876	-0.024078051	-0.054715939	8.91E-03	-0.024633033	-0.054664988	-0.002152239	-0.080976006	1.13E-02	1.08E-02	1.88E-02	0.050824194	-0.056071507	1.30E-02	1.00E-02	0.093607211	0.017249013	3.96E-02	0.043183625	9.04E-02	4.78E-02	1.20E-02	2.66E-02	2.95E-02	0.015732629	2.00E-02	0.033925699	0.034124049	0.015386651	0.01421118	0.018606294	-0.024756928	-2.09E-02	-0.002677121	-3.28E-04	1.25E-02	-0.025249634	0.026697654	0.022773983	0.331155176	-0.064071043	9.18E-03	1.02E-02	0.023084323	
A35583	0.036129411	0.032587412	1.059759975	0.039464978	0.039398331	-0.052631697	-5.91E-03	-0.054140841	-0.025105726	1.29E-02	3.56E-02	-0.05800042	-0.052111162	-0.053301743	-0.051254925	-0.056142199	-0.058412001	-0.000344544	4.43E-03	-0.00426933	-0.004480009	1.60E-02	-0.00536248	-0.00702384	-0.006824576	-0.007984997	4.05E-02	-0.046083061	-0.043094122	0.028650447	-8.54E-03	0.015329104	1.86E-03	0.021609884	2.02E-02	2.16E-02	0.006677711	1.61E-02	0.009918804	-0.036397726	0.007284123	-0.017233126	-0.037506427	0.022979729	0.022032618	-0.059060562	1.18E-02	-0.037615256	0.021618236	-2.96E-02	-0.036812744	-0.054573572	-0.031446092	0.014955211	-0.027105232	5.67E-04	4.36E-03	-0.024247845	-0.036385426	-0.02747195	-0.01369581	-1.54E-03	8.10E-03	-0.045924623	-0.032603585	0.006641532	-0.044035534	0.018484939	-0.052683209	-0.040186887	-0.017631082	-0.03757283	2.48E-03	-0.01719015	-0.038005335	-0.003798379	-0.055315867	2.89E-03	1.76E-02	6.96E-03	0.016134668	-0.038630509	1.93E-02	1.79E-03	0.019519374	0.019221652	1.26E-02	0.011713184	2.06E-02	1.20E-02	5.30E-03	1.05E-02	1.08E-02	0.019731788	3.31E-02	0.015021047	0.009792207	0.005781056	0.005122597	0.006390268	-0.019852356	-1.43E-02	0.004179723	4.43E-03	2.17E-02	-0.018671862	0.039331599	0.004361734	0.031255528	-0.04496545	1.55E-02	2.08E-03	0.032409749	
A35582	0.037444071	0.022299997	0.039464978	1.083771467	0.043437944	-0.050263974	-1.07E-02	-0.049100923	-0.028437364	9.15E-03	3.90E-02	-0.057064096	-0.050205332	-0.050084632	-0.051278646	-0.052719251	-0.054534941	-0.001867934	7.66E-04	-0.009566097	-0.00847618	1.20E-02	-0.010135871	-0.011092507	-0.009899762	-0.012009755	4.58E-02	-0.046824657	-0.042458678	0.029555841	-1.29E-02	0.012621912	-5.70E-03	0.020305529	1.99E-02	1.88E-02	0.001963493	1.40E-02	0.003462842	-0.036385963	-0.00088185	-0.020200439	-0.036610674	0.020163907	0.021550699	-0.05390778	4.55E-03	-0.037920873	0.02202915	-3.12E-02	-0.038600962	-0.05301417	-0.033479867	0.012819359	-0.029324484	-7.06E-03	1.96E-03	-0.0253067	-0.037629543	-0.02920477	-0.01929486	-5.35E-03	5.34E-04	-0.045164574	-0.034734324	-0.0003081	-0.042012002	0.016353434	-0.0498138	-0.040932798	-0.021830496	-0.038532513	-7.11E-03	-0.022165042	-0.039512644	-0.011064531	-0.053102511	-6.53E-03	1.48E-02	-6.32E-04	0.003817649	-0.038142704	1.77E-02	-2.79E-03	0.008233947	0.018447761	1.37E-03	0.003022266	1.03E-02	1.17E-03	-2.58E-03	3.78E-03	3.42E-03	0.015022227	3.79E-02	0.004967042	-0.000173691	-0.000130082	-0.001076729	0.000117334	-0.02196634	-1.93E-02	0.001817549	1.70E-03	2.08E-02	-0.023699501	0.049449983	-0.007336775	0.020243508	-0.042950552	1.36E-02	-6.12E-03	0.035133442	
A35183	0.04256448	0.034811473	0.039398331	0.043437944	1.137036443	-0.05778362	-9.41E-03	-0.058074254	-0.029633196	1.49E-02	4.13E-02	-0.064206311	-0.05718657	-0.05862092	-0.058232831	-0.062514476	-0.064845403	-0.000301224	3.88E-03	-0.005566264	-0.007115035	1.89E-02	-0.007850829	-0.008985755	-0.010107737	-0.010359397	5.19E-02	-0.051701172	-0.047611862	0.035280398	-1.14E-02	0.014819433	6.61E-04	0.025770232	2.52E-02	2.66E-02	0.006235363	1.75E-02	0.008365545	-0.041408262	0.00350046	-0.019976151	-0.042021135	0.025406712	0.026142339	-0.063849682	1.14E-02	-0.041679091	0.02407223	-3.44E-02	-0.041775724	-0.061136119	-0.036575547	0.016887128	-0.033395084	-2.32E-03	3.64E-03	-0.027117886	-0.040736357	-0.030448603	-0.017346105	-3.02E-03	7.01E-03	-0.051960401	-0.037093511	0.00411202	-0.050688744	0.020337824	-0.058483916	-0.046880525	-0.021371118	-0.04230095	-2.54E-04	-0.021311588	-0.042580355	-0.007486968	-0.060470379	-1.64E-03	1.91E-02	4.91E-03	0.013323589	-0.043070667	2.20E-02	1.15E-03	0.018632025	0.022421311	9.01E-03	0.008706688	1.98E-02	8.79E-03	1.50E-03	9.02E-03	9.47E-03	0.021809564	4.01E-02	0.014566389	0.008528157	0.003655502	0.002748812	0.005516869	-0.022567903	-1.79E-02	0.005688969	3.90E-03	2.48E-02	-0.02305291	0.054341927	-0.000606066	0.03256836	-0.050624307	1.92E-02	-2.59E-03	0.037073368	
ABTC114050	-0.060592015	-0.077429502	-0.052631697	-0.050263974	-0.05778362	1.143309116	-5.51E-03	0.091253373	0.033216401	-3.31E-02	-5.69E-02	0.102941448	0.085949243	0.094331593	0.094115469	0.09533756	0.132483137	-0.01203053	-1.26E-02	-0.012511378	-0.007519434	-3.84E-02	-0.007604369	-0.006577413	-0.003195535	-0.00478532	-5.83E-02	0.067319999	0.062900612	-0.047969539	-7.75E-03	-0.03598993	-3.39E-02	-0.042263012	-4.14E-02	-4.52E-02	-0.033809966	-3.54E-02	-0.041014181	0.051357563	-0.035093028	0.009950164	0.053630217	-0.045846693	-0.045102803	0.091935665	-4.46E-02	0.054840248	-0.041451444	3.61E-02	0.054100213	0.092122633	0.041471151	-0.033347982	0.033042067	-2.92E-02	-1.75E-02	0.024004549	0.051554463	0.031375306	0.005460137	-1.31E-02	-4.10E-02	0.063438357	0.042795209	-0.036909398	0.056375084	-0.037319039	0.093416173	0.0604769	0.004493701	0.04423805	-3.12E-02	0.004830783	0.044304964	-0.020932648	0.090888106	-3.33E-02	-4.17E-02	-3.57E-02	-0.057577376	0.051605046	-3.93E-02	-3.10E-02	-0.058939081	-0.040525839	-5.24E-02	-0.045422204	-6.00E-02	-4.48E-02	-3.22E-02	-3.92E-02	-4.59E-02	-0.038949501	-5.10E-02	-0.047768621	-0.040191861	-0.032859623	-0.031383825	-0.034497384	0.016875441	7.01E-03	-0.02132143	-2.15E-02	-4.24E-02	-0.002410691	-0.056592613	-0.036971797	-0.076986286	0.059866334	-3.74E-02	-3.17E-02	-0.048672545	
ABTC37891	-0.011220062	-0.012440881	-0.005910618	-0.010742816	-0.009407608	-0.005514958	1.05E+00	-0.009966538	-0.002783867	-6.56E-03	-1.23E-02	-0.006325852	-0.006468967	-0.006441638	-0.004914155	-0.007123762	-0.00953875	-0.003419157	-2.78E-03	0.000999128	-0.00125989	-6.88E-03	0.001223706	0.004686557	0.001559368	-0.000555256	-8.39E-03	-0.006492521	-0.003885475	-0.00618085	-2.95E-05	-0.004630159	-8.12E-03	-0.006392043	-5.98E-03	-8.48E-03	-0.003547275	-4.60E-03	-0.006169283	-0.006264775	-0.004399137	-0.006884121	-0.00423391	-0.007756353	-0.006774016	-0.010460016	-6.27E-03	-0.004154284	-0.007270603	-3.27E-03	-0.004011627	-0.006102561	-0.003625958	-0.004568795	-0.003587274	-7.09E-03	-4.32E-03	-0.007302449	-0.005557311	-0.002745925	-0.005146173	-6.65E-05	-6.86E-03	-0.007277511	-0.004841866	-0.00377846	-0.007205253	-0.007555888	-0.005550634	-0.005329231	-0.008627406	-0.007034981	-7.25E-03	-0.00768722	-0.006724364	-0.006843309	-0.007239251	-7.48E-03	-6.24E-03	-6.75E-03	-0.009344215	-0.004853139	-6.58E-03	-4.13E-03	-0.012009522	-0.005171114	-9.84E-03	-0.007297851	-1.01E-02	-8.04E-03	-5.68E-03	-4.82E-03	-6.59E-03	-0.006418353	-1.08E-02	-0.006733384	-0.005062317	-0.005546556	-0.001985558	-0.004457744	-0.006258823	-4.94E-03	-0.001959366	-3.70E-03	-7.47E-03	-0.009274582	-0.01237064	-0.006316117	-0.012778707	-0.006884455	-7.83E-03	-4.55E-03	-0.007709547	
ABTC114048	-0.059196674	-0.075076523	-0.054140841	-0.049100923	-0.058074254	0.091253373	-9.97E-03	1.169574022	0.031320124	-3.33E-02	-5.53E-02	0.096340108	0.086627337	0.089190534	0.090043622	0.115037456	0.120515943	-0.015282818	-1.62E-02	-0.015534941	-0.011656661	-3.79E-02	-0.011897473	-0.008943228	-0.006280913	-0.008081116	-5.83E-02	0.058185367	0.059392645	-0.050138388	-9.96E-03	-0.036234155	-3.49E-02	-0.043224385	-4.31E-02	-4.65E-02	-0.034345924	-3.79E-02	-0.041692844	0.045411208	-0.036742869	0.004045715	0.050327259	-0.047265769	-0.044643136	0.096570317	-4.52E-02	0.048082537	-0.042862123	3.13E-02	0.048643153	0.103403244	0.033424199	-0.035721655	0.026853773	-3.16E-02	-1.87E-02	0.017774701	0.045872202	0.025881771	-0.000449451	-1.71E-02	-3.97E-02	0.05532937	0.036017814	-0.037656556	0.044513843	-0.039210544	0.102396256	0.055662062	-0.003212583	0.031808219	-3.35E-02	-0.000590554	0.035924915	-0.023646768	0.085433158	-3.49E-02	-4.20E-02	-3.69E-02	-0.057203284	0.047608483	-4.05E-02	-3.37E-02	-0.058903586	-0.042736104	-5.21E-02	-0.045109851	-5.92E-02	-4.61E-02	-3.30E-02	-4.01E-02	-4.62E-02	-0.040324134	-4.90E-02	-0.048873182	-0.042308938	-0.034868361	-0.034282433	-0.036795466	0.012149493	2.27E-03	-0.023733396	-2.43E-02	-4.31E-02	-0.010418619	-0.055170685	-0.037204776	-0.073589567	0.048940268	-3.54E-02	-3.40E-02	-0.04867365	
ABTC143564	-0.031807726	-0.040366364	-0.025105726	-0.028437364	-0.029633196	0.033216401	-2.78E-03	0.031320124	1.080298305	-1.81E-02	-3.08E-02	0.038797953	0.031212346	0.032885903	0.035607237	0.036590932	0.032253393	-0.005133153	-5.61E-03	-0.005314905	-0.003574589	-2.05E-02	-0.003104981	-0.003097913	-0.000306922	-0.003324987	-2.92E-02	0.030465583	0.028375529	-0.023722677	-2.54E-03	-0.019419485	-1.89E-02	-0.020750885	-2.09E-02	-2.30E-02	-0.017820698	-1.75E-02	-0.021859116	0.020965476	-0.017029287	0.003039049	0.026439664	-0.023861221	-0.022708557	0.033845785	-2.30E-02	0.022714101	-0.021020452	1.86E-02	0.023075876	0.035105118	0.01885403	-0.015703141	0.01633555	-1.61E-02	-7.70E-03	0.006775015	0.020451157	0.014946065	-0.000853071	-6.17E-03	-2.15E-02	0.024885574	0.018881809	-0.018226471	0.02199364	-0.020667876	0.03291203	0.024000928	-0.001693519	0.017923528	-1.67E-02	-0.000813819	0.017847803	-0.012282719	0.036101729	-1.94E-02	-2.11E-02	-1.89E-02	-0.030931396	0.022698536	-2.09E-02	-1.62E-02	-0.032643796	-0.019328923	-2.84E-02	-0.024151632	-3.19E-02	-2.60E-02	-1.70E-02	-2.13E-02	-2.39E-02	-0.020322244	-2.79E-02	-0.024189267	-0.021576581	-0.018059022	-0.015782242	-0.017993061	0.003430499	8.17E-05	-0.011608231	-1.14E-02	-2.38E-02	-0.004710155	-0.029670654	-0.020343185	-0.04048259	0.023521545	-1.98E-02	-1.81E-02	-0.025517016	
ABTC119685	0.009843426	0.00456946	0.012852851	0.009152623	0.014873302	-0.033117601	-6.56E-03	-0.033325977	-0.018149195	1.15E+00	7.58E-03	-0.036223476	-0.032975494	-0.032795696	-0.034188367	-0.034815295	-0.037875224	-0.001597438	4.96E-04	-0.004512782	-0.005460899	6.14E-03	-0.006545085	-0.006423934	-0.005613147	-0.005375831	1.55E-02	-0.028341241	-0.027692599	0.010914068	-6.49E-03	0.003813872	-6.78E-03	0.009308189	8.03E-03	6.77E-03	-0.000470369	1.15E-02	-0.002579339	-0.025726088	-0.002404919	-0.015075958	-0.024458109	0.007091987	0.008335548	-0.037789579	7.32E-04	-0.024766751	0.008260738	-1.88E-02	-0.024170537	-0.034298937	-0.020148186	0.021132011	-0.01875087	-8.78E-03	3.03E-03	-0.021883339	-0.025853126	-0.018035025	-0.012975829	-3.07E-03	-2.17E-03	-0.029041838	-0.023250243	-0.0011329	-0.028907128	0.006053581	-0.033209146	-0.026159372	-0.017148237	-0.027857098	-6.53E-03	-0.01748118	-0.025996885	-0.010223017	-0.03597321	-7.80E-03	3.51E-03	-4.65E-03	-0.00160176	-0.024040125	5.70E-03	-3.34E-03	-0.003011852	0.009807195	-3.14E-03	-0.001409199	7.53E-06	-3.37E-03	-5.77E-03	-1.19E-03	-1.15E-03	0.010910002	8.41E-03	0.000972826	-0.0002079	-0.002688043	-0.001183905	-0.002031401	-0.016888915	-1.45E-02	0.001427522	-1.25E-04	6.19E-03	-0.019816805	0.013861248	-0.005699368	0.002821132	-0.030677862	3.38E-03	-6.99E-03	0.011808835	
