	WAM57	WAM56	SAM46	SAM8	SAM44	SAM41	SAM36	SAM30	SAM29	SAM28	SAM27	SAM26	SAM25	SAM18	SAM17	SAM33	SAM16	SAM14	SAM12	SAM11	WAM58	SAM15	ANWC135	ANWC129	ANWC131	ANWC130	SAM35	ANWC118	ANWC94	ANWC133	ANWC136	SAM31	ANWC79	ANWC132	ANWC103	ANWC105	SAM32	ANWC100	SAM39	ANWC102	ANWC104	ANWC168	ANWC117	ANWC101	ANWC75	ANWC106	ANWC108	ANWC107	ANWC126	SAM45	ANWC110	ANWC115	ANWC66	ANWC116	ANWC139	SAM19	ANWC128	ANWC109	ANWC77	SAM34	SAM37	ANWC71	ANWC170	ANWC72	ANWC73	ANWC134	ANWC81	ANWC78	SAM38	ANWC80
WAM57	0	0	2700546.449	2175670.92	2700546.449	2475451.26	1827849.983	2700310.071	2699624.849	2700546.449	2700546.449	2700546.449	2700546.449	2.02E+06	2.02E+06	1681495.19	2259964.08	2279336.86	2198481.24	2236143.15	467132.94	2279336.86	1242403.38	1386071.84	1442787.33	1458229.02	1783907.06	3519119.1	2541548.7	1245757.51	1242403.38	2699624.849	208054.7	1245757.51	2497446.29	3297457.8	2700546.449	2582152.35	1834880.026	2538403.89	2098936.7	3219032	3519119.1	2540610.93	1821022.3	3132812.1	2741745.3	3132812.1	1528100.1	2700546.449	3349108.7	2833045.7	2558470.2	2833045.7	2309955.8	2.02E+06	1383719.95	2857995.9	1130471.1	1687336.381	1687548.31	3035847.5	3337003.7	1997686	1997686	1269311.05	529377.98	487928.5	1664751	214416.8
WAM56	0	0	2700546.449	2175670.92	2700546.449	2475451.26	1827849.983	2700310.071	2699624.849	2700546.449	2700546.449	2700546.449	2700546.449	2.02E+06	2.02E+06	1681495.19	2259964.08	2279336.86	2198481.24	2236143.15	467132.94	2279336.86	1242403.38	1386071.84	1442787.33	1458229.02	1783907.06	3519119.1	2541548.7	1245757.51	1242403.38	2699624.849	208054.7	1245757.51	2497446.29	3297457.8	2700546.449	2582152.35	1834880.026	2538403.89	2098936.7	3219032	3519119.1	2540610.93	1821022.3	3132812.1	2741745.3	3132812.1	1528100.1	2700546.449	3349108.7	2833045.7	2558470.2	2833045.7	2309955.8	2.02E+06	1383719.95	2857995.9	1130471.1	1687336.381	1687548.31	3035847.5	3337003.7	1997686	1997686	1269311.05	529377.98	487928.5	1664751	214416.8
SAM46	2700546.4	2700546.4	0	937021.59	0	260208.89	879832.926	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	941264.33	1458873.75	1317131.73	1264033.83	1248590.96	924492.64	1120276.3	162945.5	1454789.13	1458873.75	3723.1201	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	601655.8	1392036.5	1120276.3	449490.58	1185800.9	771034.6	395195.6	771034.6	1172448.3	0	701986.2	1193184.7	1843861.8	1193184.7	2066275	9.33E+05	1318465.5	350418	1582111.1	1015133.896	1015074.676	688979.5	1436015.4	830827.8	830827.8	1431359.4	2598867.29	2214473.3	1046693.99	2534404.2
SAM8	2175670.9	2175670.9	937021.587	0	937021.587	695898.57	645511.866	934501.8633	933734.9983	937021.587	937021.587	937021.587	937021.587	1.85E+05	1.85E+05	733606	84413.35	112612.33	28587.29	63786.82	2296691.34	112612.33	1055110.66	928279.38	866106.87	855077.5	658065.13	1356761.8	809653.3	1072653.74	1055110.66	933734.9983	1970901.5	1072653.74	636646.16	1139143.2	937021.587	609327.66	640131.163	534589.2	698818.8	1093995.9	1356761.8	524738.05	362555.5	991281.8	710397	991281.8	874739	937021.587	1326480.6	714901.4	1002227.7	714901.4	1152340.6	1.85E+05	938503.66	855946	1097692.6	745591.061	743845.803	904256.7	1202067.4	327047.1	327047.1	1046002.31	2259511.01	1707014.9	701451.13	1974067.4
SAM44	2700546.4	2700546.4	0	937021.59	0	260208.89	879832.926	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	941264.33	1458873.75	1317131.73	1264033.83	1248590.96	924492.64	1120276.3	162945.5	1454789.13	1458873.75	3723.1201	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	601655.8	1392036.5	1120276.3	449490.58	1185800.9	771034.6	395195.6	771034.6	1172448.3	0	701986.2	1193184.7	1843861.8	1193184.7	2066275	9.33E+05	1318465.5	350418	1582111.1	1015133.896	1015074.676	688979.5	1436015.4	830827.8	830827.8	1431359.4	2598867.29	2214473.3	1046693.99	2534404.2
SAM41	2475451.3	2475451.3	260208.89	695898.57	260208.89	0	647602.218	258476.2287	257677.2097	260208.89	260208.89	260208.89	260208.89	6.76E+05	6.76E+05	794274.65	679355.29	715888.93	705931.7	659812.24	2464279.35	715888.93	1233891.79	1089477.61	1032941.75	1017475.58	691593.06	1197745.4	113802.9	1233034.97	1233891.79	257677.2097	2268711.4	1233034.97	89858.13	991911	260208.89	226570.84	640574.449	267145.76	396078	1328866.8	1197745.4	284138.59	926592.5	810228.6	362524.3	810228.6	952340.6	260208.89	881016.2	1068725	1645474.9	1068725	1841453.1	6.76E+05	1092191.8	417229.4	1348761.5	789362.768	789024.046	712776.4	1392973.1	570726.9	570726.9	1208332.89	2406165.91	1987750.2	811730.99	2302603.6
SAM36	1827850	1827850	879832.926	645511.87	879832.926	647602.22	0	879264.4671	878540.3607	879832.926	879832.926	879832.926	879832.926	4.74E+05	4.74E+05	147519.36	705735.82	747889.22	673410.88	671046.47	1832653.49	747889.22	586714.32	441935.21	385663.31	370185.79	44672.81	1766786.1	718060.9	587218.21	586714.32	878540.3607	1621169	587218.21	673949.77	1546787.1	879832.926	774126.69	7534.478	745547.41	290790.2	1687723.2	1766786.1	752207.17	567358.1	1368349.6	938637.9	1368349.6	311063	879832.926	1524528.8	1331335.7	1598665.6	1331335.7	1657036.4	4.74E+05	444921.01	1040356.8	702877.2	145400.614	144692.819	1267191.5	1783257.3	319570.4	319570.4	561962.72	1779395.16	1340180.9	167070.2	1656390.7
SAM30	2700310.1	2700310.1	3203.486	934501.86	3203.486	258476.23	879264.467	0	799.9914	3203.486	3203.486	3203.486	3203.486	9.31E+05	9.31E+05	1022153.03	906518.29	938525.07	941036.23	891596.86	2661597.72	938525.07	1458569.38	1316750.2	1263564.7	1248119.24	923920.11	1117980.7	162062.6	1454555.56	1458569.38	799.9914	2495069.3	1454555.56	298333.48	937778.4	3203.486	358187.3	872730.733	430856.92	601461.3	1388925.8	1117980.7	446498.28	1183854	768327.7	392011.9	768327.7	1172210.1	3203.486	700858.2	1189981.8	1840837.9	1189981.8	2063461.2	9.31E+05	1318115.63	347590	1581618.2	1014743.823	1014678.499	686141.7	1432976.7	829150.3	829150.3	1431095.46	2599277.28	2214180.5	1046097.08	2533998.1
SAM29	2699624.8	2699624.8	3723.12	933735	3723.12	257677.21	878540.361	799.9914	0	3723.12	3723.12	3723.12	3723.12	9.31E+05	9.31E+05	1021442.67	905774.09	937791.22	940276.49	890842.85	2660997.02	937791.22	1457875.76	1316047.17	1262851.42	1247405.67	923195.53	1118106.3	161310.2	1453870.95	1457875.76	0	2494378.5	1453870.95	297556.85	937802.3	3723.12	357542.51	872005.172	430184.72	600782.5	1388633.7	1118106.3	445833.26	1183054.5	768288.1	391626.3	768288.1	1171525	3723.12	701308.7	1189507.3	1840186.2	1189507.3	2062743.2	9.30E+05	1317416.43	347491.6	1580902.2	1014039.922	1013973.869	686037	1432745.9	828352.1	828352.1	1430406.95	2598688.95	2213488.1	1045369.82	2533291.9
SAM28	2700546.4	2700546.4	0	937021.59	0	260208.89	879832.926	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	941264.33	1458873.75	1317131.73	1264033.83	1248590.96	924492.64	1120276.3	162945.5	1454789.13	1458873.75	3723.1201	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	601655.8	1392036.5	1120276.3	449490.58	1185800.9	771034.6	395195.6	771034.6	1172448.3	0	701986.2	1193184.7	1843861.8	1193184.7	2066275	9.33E+05	1318465.5	350418	1582111.1	1015133.896	1015074.676	688979.5	1436015.4	830827.8	830827.8	1431359.4	2598867.29	2214473.3	1046693.99	2534404.2
