	A37114	A36182	A35583	A35582	A35183	ABTC114050	ABTC37891	ABTC114048	ABTC143564	ABTC119685	A37115	ABTC113311	ABTC113310	ABTC113234	ABTC113233	ABTC113232	ABTC113231	ABTC85134	ABTC85133	ABTC73792	ABTC73791	ABTC119496	ABTC38831	ABTC38801	ABTC37976	ABTC37966	A35745	B46574	B46525	B46415	ABTC38802	B54287	B54701	B54119	B54149	B54133	B55279	ABTC119649	B55371	B52751	B53877	B41644	B46630	B54257	B54288	ABTC113312	B55292	B33180	B54256	B48315	B49330	ABTC113313	B48221	ABTC119904	B48236	B54436	B48426	B55501	B52750	B48235	B29378	B32845	B55281	B49357	B49438	B50538	B49358	B54028	ABTC114049	B49626	B41656	B52745	B54435	B29336	B52746	B54458	ABTC84315	B54738	B54114	B54739	B55220	B49452	B32899	B55412	B55160	ABTC119512	B55221	B55255	B55126	B55256	B52435	B55280	B55291	ABTC119786	B32011	B55308	B55370	B54740	B55399	B55400	B55503	B29377.b	B32773	B32774	B54278	B29337.a	B33369	B55435	A36181	B33013	ABTC119851	B54778	B33205
A37114	0	1166682.8	356917.9	356917.9	701478.3	2346794.252	1827588.65	2346794.252	2119629.22	1472116.657	0	2346496.426	2345803.425	2346794.252	2346794.252	2346794.252	2346794.252	1.67E+06	1.67E+06	1.67E+06	1.67E+06	1326166.09	1911993.95	1932972.53	1851082.22	1887229.97	575959.66	2200271.76	2206831.31	2704997.1	1932972.53	887931.99	1903632.38	1030714.48	1086716.6	1102176.14	923218.431	1428038.86	1093210.94	3165720.1	1837466.8	2423385.8	2187151.7	892726.72	887931.99	2345803.425	913909.584	149170.1	892726.72	2140808.77	2943805.2	2346794.252	2225248.96	1479097.664	2181717.97	2059640.78	1745506.2	2883845.1	3165720.1	2184030.15	2296198.67	1477037.1	921040.396	2778009.9	2384948.1	834472.1	2778009.9	1174715.6	2346794.252	2992392.5	2406976.1	2496711.2	2059640.78	2274361.3	2496711.2	2057538.01	1.67E+06	1899427.506	1028746.07	1899427.506	941800.771	2501091.9	773589.1	1208004.441	1258868.16	1332442.534	941800.771	943269.458	1257685.45	941692.15	1903632.38	923218.431	913909.584	1332605.396	2680665.8	922078.45	1093210.94	1900439.429	1073484.85	1073484.85	3000537.6	2296198.67	1641844.3	1641844.3	915619.48	2274361.3	589141.29	1215408.973	1166682.8	132364.6	1308450.99	1786033.1	204273
A36182	1166682.8	0	1278548.7	1278548.7	1867524.7	2571321.84	1710841.7	2571321.84	2311113.11	1789981.713	1166682.8	2569579.42	2568780.097	2571321.84	2571321.84	2571321.84	2571321.84	1.65E+06	1.65E+06	1.65E+06	1.65E+06	1696361.72	1776683.58	1769735.67	1719047.5	1771721.12	1704083.74	2521765.83	2515268.41	2843148.6	1769735.67	1434821.56	968064.86	1498020.88	1509584.3	1520037.31	464825.23	1752102.15	464847.53	2986309.5	800519.2	1727939.7	2415453.6	1463424.08	1434821.56	2568780.097	465008.301	1194978	1463424.08	2284530.84	2788012.6	2571321.84	2299929.22	1793412.738	2230359.93	1205854.52	2066849.1	2470629.6	2986309.5	2223492.27	1578173.19	1392144	465932.953	2669143.2	2418664.8	334052.7	2669143.2	1636245.8	2571321.84	3036948.8	1691201.2	2131197	1205854.52	1564066.03	2131197	1220298.86	1.65E+06	924406.503	1506847.61	924406.503	409689.175	2562831	1289851.7	501749.367	332493.18	1713258.402	409689.175	413345.723	333409.56	405693.169	968064.86	464825.23	465008.301	1712053.05	2593727	455264.39	464847.53	925769.38	500552.7	500552.7	2591100.2	1578173.19	1740808.4	1740808.4	1465586.98	1564066.03	1738008.08	504892.523	0	1172691.7	1647259.64	906155.5	1105659.3
A35583	356917.9	1278548.7	0	0	746216.4	2700546.449	2175670.92	2700546.449	2475451.26	1827849.983	356917.9	2700310.071	2699624.849	2700546.449	2700546.449	2700546.449	2700546.449	2.02E+06	2.02E+06	2.02E+06	2.02E+06	1681495.19	2259964.08	2279336.86	2198481.24	2236143.15	467132.94	2549773.9	2557119.82	3060425.1	2279336.86	1242403.38	2126718.52	1386071.84	1442787.33	1458229.02	1153766.506	1783907.06	1324936.96	3519119.1	2026530.5	2712938.4	2541548.7	1245757.51	1242403.38	2699624.849	1143908.339	208054.7	1245757.51	2497446.29	3297457.8	2700546.449	2582152.35	1834880.026	2538403.89	2308152.48	2098936.7	3219032	3519119.1	2540610.93	2579245.97	1821022.3	1151765.319	3132812.1	2741745.3	974365	3132812.1	1528100.1	2700546.449	3349108.7	2692433.7	2833045.7	2308152.48	2558470.17	2833045.7	2309955.82	2.02E+06	2110793.848	1383719.95	2110793.848	1157810.613	2857995.9	1130471.1	1440830.087	1448042.33	1687336.381	1157810.613	1160467.651	1447228.14	1156509.091	2126718.52	1153766.506	1143908.339	1687548.31	3035847.5	1149853.74	1324936.96	2111940.161	1313890.53	1313890.53	3337003.7	2579245.97	1997686	1997686	1269311.05	2558470.17	529377.98	1448285.95	1278548.7	487928.5	1664751	2020123.7	214416.8
A35582	356917.9	1278548.7	0	0	746216.4	2700546.449	2175670.92	2700546.449	2475451.26	1827849.983	356917.9	2700310.071	2699624.849	2700546.449	2700546.449	2700546.449	2700546.449	2.02E+06	2.02E+06	2.02E+06	2.02E+06	1681495.19	2259964.08	2279336.86	2198481.24	2236143.15	467132.94	2549773.9	2557119.82	3060425.1	2279336.86	1242403.38	2126718.52	1386071.84	1442787.33	1458229.02	1153766.506	1783907.06	1324936.96	3519119.1	2026530.5	2712938.4	2541548.7	1245757.51	1242403.38	2699624.849	1143908.339	208054.7	1245757.51	2497446.29	3297457.8	2700546.449	2582152.35	1834880.026	2538403.89	2308152.48	2098936.7	3219032	3519119.1	2540610.93	2579245.97	1821022.3	1151765.319	3132812.1	2741745.3	974365	3132812.1	1528100.1	2700546.449	3349108.7	2692433.7	2833045.7	2308152.48	2558470.17	2833045.7	2309955.82	2.02E+06	2110793.848	1383719.95	2110793.848	1157810.613	2857995.9	1130471.1	1440830.087	1448042.33	1687336.381	1157810.613	1160467.651	1447228.14	1156509.091	2126718.52	1153766.506	1143908.339	1687548.31	3035847.5	1149853.74	1324936.96	2111940.161	1313890.53	1313890.53	3337003.7	2579245.97	1997686	1997686	1269311.05	2558470.17	529377.98	1448285.95	1278548.7	487928.5	1664751	2020123.7	214416.8
A35183	701478.3	1867524.7	746216.4	746216.4	0	2432524.235	2177405.02	2432524.235	2255047.9	1649257.512	701478.3	2433180.038	2432635.674	2432524.235	2432524.235	2432524.235	2432524.235	2.00E+06	2.00E+06	2.00E+06	2.00E+06	1509171.85	2258255.6	2289826.45	2204734.92	2227372.16	338748.51	2240754.57	2255204.96	2807758.3	2289826.45	1122360.65	2545432.71	1254303.38	1317927.11	1330618.04	1586204.107	1612692.8	1748429.94	3415866.8	2506600	2960464.5	2290318.4	1105929.18	1122360.65	2432635.674	1577694.739	706024.1	1105929.18	2302519.83	3196044.6	2432524.235	2416849.77	1656779.906	2393769.71	2670884.7	1859055.5	3271268.7	3415866.8	2401005.39	2849016.84	1876006.5	1583993.368	3017342.8	2581557	1534421.2	3017342.8	1344222.8	2432524.235	3127759.3	2952671.1	2889000.8	2670884.7	2825670.06	2889000.8	2663834.81	2.00E+06	2551560.755	1245384.19	2551560.755	1613677.137	2669218	1097402.4	1858206.755	1937224.27	1506303.455	1613677.137	1614366.387	1935875.19	1614289.426	2545432.71	1586204.107	1577694.739	1507354.495	2916104.2	1587078.31	1748429.94	2552446.145	1722138.89	1722138.89	3379119.2	2849016.84	1912346	1912346	1132858.12	2825670.06	252935.55	1865315.63	1867524.7	708174.6	1517821.15	2419376.8	809923.7
ABTC114050	2346794.3	2571321.8	2700546.4	2700546.4	2432524.2	0	937021.59	0	260208.89	879832.926	2346794.3	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	225022.95	200988.01	375344.3	941264.33	1458873.75	2236761.18	1317131.73	1264033.83	1248590.96	2134527.568	924492.64	2107296.83	1120276.3	2426832.2	1836439	162945.5	1454789.13	1458873.75	3723.1201	2138169.026	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	2097794.29	601655.8	1392036.5	1120276.3	449490.58	1861542.9	1185800.9	2134220.858	771034.6	395195.6	2427648.4	771034.6	1172448.3	0	701986.2	1874500.3	1193184.7	2097794.29	1843861.84	1193184.7	2066274.96	9.33E+05	2311822.713	1318465.5	2311822.713	2186452.1	350418	1582111.1	2093941.35	2296019.26	1015133.896	2186452.1	2181893.013	2294287.1	2190859.215	2236761.18	2134527.568	2138169.026	1015074.676	688979.5	2145203.41	2107296.83	2311280.124	2070800.38	2070800.38	1436015.4	1861542.9	830827.8	830827.8	1431359.4	1843861.84	2598867.29	2093350.455	2571321.8	2214473.3	1046693.99	2134102.6	2534404.2
ABTC37891	1827588.7	1710841.7	2175670.9	2175670.9	2177405	937021.587	0	937021.587	695898.57	645511.866	1827588.7	934501.8633	933734.9983	937021.587	937021.587	937021.587	937021.587	1.85E+05	1.85E+05	1.85E+05	1.85E+05	733606	84413.35	112612.33	28587.29	63786.82	2296691.34	978239.8	960602.25	1145958.7	112612.33	1055110.66	1302528.98	928279.38	866106.87	855077.5	1320974.643	658065.13	1251026.09	1356761.8	1489837.8	1049909.2	809653.3	1072653.74	1055110.66	933734.9983	1327028.679	1970901.5	1072653.74	636646.16	1139143.2	937021.587	609327.66	640131.163	534589.2	1182372.64	698818.8	1093995.9	1356761.8	524738.05	1024109.65	362555.5	1321287.848	991281.8	710397	1635803.4	991281.8	874739	937021.587	1326480.6	1073299.7	714901.4	1182372.64	1002227.67	714901.4	1152340.65	1.85E+05	1376310.083	938503.66	1376310.083	1365937.513	855946	1097692.6	1212789.24	1407283.95	745591.061	1365937.513	1361118.632	1405713.02	1370256.508	1302528.98	1320974.643	1327028.679	743845.803	904256.7	1331468.06	1251026.09	1375807.655	1220403.01	1220403.01	1202067.4	1024109.65	327047.1	327047.1	1046002.31	1002227.67	2259511.01	1210721.137	1710841.7	1707014.9	701451.13	1197331.2	1974067.4
ABTC114048	2346794.3	2571321.8	2700546.4	2700546.4	2432524.2	0	937021.59	0	260208.89	879832.926	2346794.3	3203.4856	3723.1201	0	0	0	0	9.33E+05	9.33E+05	9.33E+05	9.33E+05	1022597.91	909199.96	941264.33	943613.66	894215.76	2661261.27	225022.95	200988.01	375344.3	941264.33	1458873.75	2236761.18	1317131.73	1264033.83	1248590.96	2134527.568	924492.64	2107296.83	1120276.3	2426832.2	1836439	162945.5	1454789.13	1458873.75	3723.1201	2138169.026	2495348.9	1454789.13	300763.08	940340.3	0	361227.04	873312.771	433830.25	2097794.29	601655.8	1392036.5	1120276.3	449490.58	1861542.9	1185800.9	2134220.858	771034.6	395195.6	2427648.4	771034.6	1172448.3	0	701986.2	1874500.3	1193184.7	2097794.29	1843861.84	1193184.7	2066274.96	9.33E+05	2311822.713	1318465.5	2311822.713	2186452.1	350418	1582111.1	2093941.35	2296019.26	1015133.896	2186452.1	2181893.013	2294287.1	2190859.215	2236761.18	2134527.568	2138169.026	1015074.676	688979.5	2145203.41	2107296.83	2311280.124	2070800.38	2070800.38	1436015.4	1861542.9	830827.8	830827.8	1431359.4	1843861.84	2598867.29	2093350.455	2571321.8	2214473.3	1046693.99	2134102.6	2534404.2
ABTC143564	2119629.2	2311113.1	2475451.3	2475451.3	2255047.9	260208.89	695898.57	260208.89	0	647602.218	2119629.2	258476.2287	257677.2097	260208.89	260208.89	260208.89	260208.89	6.76E+05	6.76E+05	6.76E+05	6.76E+05	794274.65	679355.29	715888.93	705931.7	659812.24	2464279.35	296706.72	274684.2	586085	715888.93	1233891.79	1998328.17	1089477.61	1032941.75	1017475.58	1875051.082	691593.06	1847106.08	1197745.4	2181621.5	1654991.6	113802.9	1233034.97	1233891.79	257677.2097	1878786.218	2268711.4	1233034.97	89858.13	991911	260208.89	226570.84	640574.449	267145.76	1872279.09	396078	1328866.8	1197745.4	284138.59	1664697.14	926592.5	1874766.259	810228.6	362524.3	2169700.2	810228.6	952340.6	260208.89	881016.2	1689149.1	1068725	1872279.09	1645474.93	1068725	1841453.08	6.76E+05	2071664.248	1092191.8	2071664.248	1926802.32	417229.4	1348761.5	1834396.346	2036688.6	789362.768	1926802.32	1922229.953	2034948.27	1931211.41	1998328.17	1875051.082	1878786.218	789024.046	712776.4	1885734.77	1847106.08	2071183.584	1810591.78	1810591.78	1392973.1	1664697.14	570726.9	570726.9	1208332.89	1645474.93	2406165.91	1833879.173	2311113.1	1987750.2	811730.99	1891402.5	2302603.6
ABTC119685	1472116.7	1789981.7	1827850	1827850	1649257.5	879832.926	645511.87	879832.926	647602.22	0	1472116.7	879264.4671	878540.3607	879832.926	879832.926	879832.926	879832.926	4.74E+05	4.74E+05	4.74E+05	4.74E+05	147519.36	705735.82	747889.22	673410.88	671046.47	1832653.49	763138.03	763422.09	1232940.8	747889.22	586714.32	1725774.73	441935.21	385663.31	370185.79	1330076.745	44672.81	1343861.89	1766786.1	1853910.1	1671391.1	718060.9	587218.21	586714.32	878540.3607	1331694.706	1621169	587218.21	673949.77	1546787.1	879832.926	774126.69	7534.478	745547.41	1681928.58	290790.2	1687723.2	1766786.1	752207.17	1622157.49	567358.1	1329311.851	1368349.6	938637.9	1596715.9	1368349.6	311063	879832.926	1524528.8	1688132.3	1331335.7	1681928.58	1598665.61	1331335.7	1657036.44	4.74E+05	1783921.639	444921.01	1783921.639	1384769.116	1040356.8	702877.2	1362804.767	1563377.32	145400.614	1384769.116	1380648.034	1561492.02	1389025.666	1725774.73	1330076.745	1331694.706	144692.819	1267191.5	1340331.64	1343861.89	1783868.345	1303448.58	1303448.58	1783257.3	1622157.49	319570.4	319570.4	561962.72	1598665.61	1779395.16	1364406.134	1789981.7	1340180.9	167070.2	1597192.4	1656390.7
